"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RABGAP1L",3.59646212515569e-11,0.620475467658548,0.973,0.917,1.10055337491889e-06
"SSPN",3.62522695330247e-11,0.81771077806408,0.773,0.445,1.10935569998009e-06
"MT-CYB",4.69937217885712e-11,-0.609840054056287,0.96,0.999,1.43805488045207e-06
"CBWD3",5.49922459447885e-11,0.25635379128666,0.253,0.06,1.68281771815647e-06
"LINC01504",6.39080728772443e-11,0.253723475485308,0.16,0.026,1.95565093811655e-06
"ANKRD44",8.71281780966168e-11,0.494848921959836,0.987,0.963,2.66620937793457e-06
"AC009950.1",1.0053294297735e-10,0.250929652464601,0.227,0.05,3.07640858804988e-06
"PDE7A",1.03952813870852e-10,0.630761337455823,0.933,0.789,3.18106005726195e-06
"HPS3",1.22428922073378e-10,0.331271957650066,0.28,0.074,3.74644744436744e-06
"MYCBP2",1.38823365234681e-10,0.545615592833571,0.96,0.856,4.24813379954647e-06
"OSBPL10",1.45451217969718e-10,0.697410114865934,0.96,0.87,4.45095272109135e-06
"COX4I1",1.67344551139295e-10,-0.593831122840872,0.12,0.502,5.12091060941356e-06
"DNAJC13",2.57228014877606e-10,0.373352235215986,0.373,0.121,7.87143448326961e-06
"BTG1",3.22876116181553e-10,-0.642427342276239,0.627,0.845,9.88033203127169e-06
"MS4A1",3.57220281957083e-10,0.601214969697485,0.92,0.784,1.09312978481687e-05
"AL049830.3",4.86588960413245e-10,0.252585977599258,0.24,0.058,1.48901087776057e-05
"FCRL1",4.99262619536502e-10,0.593036924828088,0.827,0.559,1.52779354204365e-05
"USP45",6.73457470805684e-10,0.30854647649296,0.387,0.131,2.06084720641247e-05
"TIMMDC1",7.07932143539643e-10,0.30158916206542,0.253,0.066,2.16634315244566e-05
"BIRC3",8.08947605673049e-10,0.627829314570225,0.667,0.354,2.4754605681201e-05
"AC087854.1",8.53501968713545e-10,0.374965678653022,0.48,0.191,2.61180137446032e-05
"SNX10",8.60111256776513e-10,0.411539388054464,0.453,0.176,2.63202645686181e-05
"AL137789.1",1.12834969871764e-09,0.385176140323194,0.373,0.129,3.45286291304586e-05
"KLF6",1.238696377784e-09,-0.66424380809956,0.267,0.607,3.79053478565681e-05
"EXOC1",2.05131200764594e-09,0.418743826040994,0.467,0.191,6.27721987459734e-05
"TRIO",2.09207387632876e-09,0.644387095090029,0.907,0.749,6.40195526895363e-05
"EEF1D",2.10683739206478e-09,-0.572150227427921,0.133,0.481,6.44713310345743e-05
"PDE4D",2.36091253436917e-09,0.77297647702433,0.893,0.883,7.2246284464231e-05
"KCNH8",3.07604057660412e-09,0.629725492660106,0.533,0.249,9.41299176846625e-05
"TPD52",3.43526323338144e-09,0.603666803265561,0.64,0.365,0.000105122490204705
"PCNX4",3.70091221702576e-09,0.418113673858895,0.4,0.15,0.000113251614753205
"CSNK2A1",3.90485431542817e-09,0.276064531886572,0.44,0.164,0.000119492446906417
"THRB",4.9846428266698e-09,0.359315943051999,0.147,0.027,0.000152535055138923
"STRBP",5.03464220862887e-09,0.566177121127784,0.787,0.5,0.000154065086226252
"LINC02422",5.09599524938887e-09,0.296894327570696,0.307,0.096,0.000155942550626549
"RUFY3",5.14458989537468e-09,0.411042218295998,0.467,0.194,0.00015742959538836
"BTNL9",5.4778593725862e-09,0.374554176640972,0.413,0.159,0.00016762797466051
"CALM1",6.42166155406941e-09,-0.595856833119309,0.24,0.566,0.000196509265216078
"CYBA",6.46309476017657e-09,-0.613986293591235,0.413,0.679,0.000197777162756163
"SEL1L3",6.957347093149e-09,0.598552671568919,0.92,0.8,0.000212901778397453
"TOX",7.01458657802183e-09,0.999533085863745,0.653,0.407,0.000214653363874046
"DTWD1",7.61028484556293e-09,0.254955412180776,0.24,0.065,0.000232882326559071
"EBF1",8.71090142048099e-09,0.671027831661851,0.933,0.88,0.000266562294368139
"PAX5",8.72075313966022e-09,0.580240556503079,0.787,0.498,0.000266863766826742
"CD52",1.00650562729474e-08,-0.603249869273037,0.413,0.728,0.000308000787008462
"DDX17",1.19029263043892e-08,0.42964532501312,0.933,0.742,0.000364241447840613
"GDAP2",1.39731552677662e-08,0.268325175373925,0.293,0.093,0.000427592524348913
"TAOK1",1.40280407121678e-08,0.365987194468395,0.533,0.238,0.000429272073833047
"LIMD1",1.42560418723589e-08,0.416777747095148,0.427,0.178,0.000436249137336055
"FCRL5",1.47750702826179e-08,0.418822543544267,0.333,0.116,0.000452131925718389
"PPP3CA",1.48011557232505e-08,0.673725919156654,0.947,0.813,0.000452930166287189
"BMP2K",1.49819879656622e-08,0.88608478629278,0.693,0.471,0.00045846381373723
"CIITA",1.53567771967862e-08,0.465649082536768,0.573,0.292,0.000469932738998856
"RASA1",1.55281394161813e-08,0.402417798876495,0.587,0.281,0.000475176594274563
"JUNB",2.00581796955217e-08,-0.558111195419438,0.08,0.401,0.000613800356862659
"NPIPB5",2.15472593608523e-08,0.295408975800157,0.387,0.147,0.000659367683701441
"LYPLAL1",2.91098755600664e-08,0.595693975130923,0.787,0.531,0.000890791302013593
"IRF2",3.31660888919225e-08,0.270495185872127,0.293,0.096,0.00101491548618172
"WDFY4",3.81772264000181e-08,0.537445122739167,0.84,0.624,0.00116826130506695
"KIAA1211",3.83018785374138e-08,0.260839881939002,0.147,0.029,0.0011720757851234
"ACTB",4.55232701085522e-08,-0.647224722969972,0.64,0.839,0.0013930575885918
