"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL36A",2.10933515458626e-17,-1.12889998449996,0.17,0.807,6.45477650654942e-13
"RPS9",2.14468702727719e-17,-1.11418712414031,0.226,0.806,6.56295677217093e-13
"RPS3A",3.07449360647521e-17,-1.05848311922022,0.377,0.868,9.4082578851748e-13
"RPS5",4.41230450049722e-17,-1.11935959546604,0.189,0.763,1.35020930019715e-12
"RPL9",8.78862769905831e-17,-1.04918891215729,0.377,0.869,2.68940796218883e-12
"RPS26",9.00440947677022e-17,-1.16478144524032,0.264,0.815,2.75543934398645e-12
"TMSB10",2.15877616888929e-16,-1.11313412359393,0.34,0.826,6.6060709544181e-12
"RPL29",2.49316023534986e-16,-1.09031575964529,0.151,0.731,7.62931963619411e-12
"ERMP1",3.00358226375174e-16,0.387169222885865,0.34,0.061,9.1912620853067e-12
"MT-CO1",3.34366208015568e-16,-1.02171722424499,0.906,1,1.02319403314844e-11
"HLA-A",3.37695281524556e-16,-1.05198464015135,0.604,0.922,1.0333813309933e-11
"RPS7",3.50163359184022e-16,-1.05060409450412,0.245,0.798,1.07153489543903e-11
"MT-ND5",4.30921776210932e-16,-1.06484720453553,0.679,0.994,1.31866372738307e-11
"RPS24",5.47389541456448e-16,-0.941716219227734,0.264,0.84,1.67506673581088e-11
"RPL8",1.16322985689065e-15,-1.0348798612944,0.189,0.765,3.55959968507107e-11
"RIPOR2",1.2129389466524e-15,0.923607757330102,0.981,0.84,3.71171447065101e-11
"RPS13",2.39576268541848e-15,-0.99776775103711,0.283,0.831,7.3312733936491e-11
"UBA52",2.63806173603409e-15,-1.01777581666671,0.17,0.746,8.07273271843792e-11
"EIF1",2.94469826650813e-15,-0.981146364056272,0.509,0.857,9.01107116534153e-11
"MTRNR2L12",3.71019180749756e-15,1.48783453437471,0.943,0.646,1.13535579501233e-10
"MBNL1",3.83292801446585e-15,0.990936970902649,0.981,0.958,1.17291430170669e-10
"FLI1",7.157704538084e-15,0.749773791403956,0.736,0.288,2.19032916569908e-10
"MT-ND4",1.15321137458715e-14,-0.960750459798168,0.943,1,3.52894212737414e-10
"MT-ND2",1.215656502639e-14,-0.945781902631786,0.849,0.999,3.72003046372562e-10
"RPL7A",1.50101856867354e-14,-0.948310897180362,0.264,0.776,4.59326692199789e-10
"RPL14",1.92553772191187e-14,-0.950243697333951,0.321,0.804,5.89233798282251e-10
"RPL38",2.83013480325361e-14,-0.955269587310991,0.226,0.75,8.66049551143636e-10
"VPS45",3.88337835189493e-14,0.422096392526288,0.396,0.09,1.18835260946337e-09
"RPL31",4.34300979092004e-14,-0.951550930442658,0.264,0.792,1.32900442611944e-09
"S100A4",4.7352411286708e-14,-1.05660413645119,0.226,0.716,1.44903113778455e-09
"MBNL1-AS1",6.76713671514966e-14,0.395637574548138,0.302,0.057,2.07081150620295e-09
"PFN1",1.08977010189926e-13,-0.907667421836268,0.132,0.694,3.33480548882193e-09
"ABCD2",1.2684202632087e-13,0.469253141523167,0.396,0.095,3.88149284744493e-09
"RPL24",1.99924015947306e-13,-0.874451588819607,0.189,0.719,6.11787481200351e-09
"ANKRD36",5.30584701797407e-13,0.714419849238442,0.774,0.351,1.62364224597025e-08
"LTB",1.11458320013695e-12,-1.06480367825046,0.264,0.736,3.4107360507391e-08
"ST6GAL1",1.1838642434293e-12,0.70691882008648,0.774,0.345,3.622742971318e-08
"MDFIC",1.71186342090107e-12,1.06197693818333,0.755,0.381,5.23847325429936e-08
"RPL5",1.8249161325493e-12,-0.852896682136881,0.358,0.812,5.58442585721413e-08
"RPL12",2.00101291338638e-12,-0.895780512802023,0.226,0.742,6.12329961625366e-08
"AC010186.3",3.72794865294441e-12,0.275232483345767,0.245,0.043,1.14078956728752e-07
"AC079793.1",6.08199866263898e-12,0.702549532958428,0.962,0.825,1.86115241075416e-07
"ADAM10",6.2252695810026e-12,0.613898988055601,0.736,0.339,1.90499474448261e-07
"RPL10A",8.57757598079089e-12,-0.822960199070726,0.34,0.798,2.62482402588182e-07
"BTG1",1.06501663867116e-11,-0.844966201059072,0.698,0.884,3.25905741599762e-07
"PTMA",1.07711534034633e-11,-0.810787331577676,0.472,0.882,3.29608065299381e-07
"RPL35",1.20743887619714e-11,-0.796403823195386,0.226,0.703,3.69488370505088e-07
"ARHGAP15",1.37940999184791e-11,0.623760725833738,1,0.997,4.22113251605378e-07
"IFNG-AS1",1.39166392107491e-11,1.03702480909673,0.887,0.511,4.25863076488133e-07
"AL035530.2",1.45338136494843e-11,0.339985255482283,0.302,0.066,4.44749231487869e-07
"RPL27",2.89757784150276e-11,-0.797266250286085,0.264,0.697,8.86687795278258e-07
"RACK1",3.40754673555377e-11,-0.78712551252195,0.17,0.638,1.04274337654681e-06
"RPL7",3.61791791453593e-11,-0.78313952507843,0.264,0.731,1.10711906102714e-06
"LCP2",3.89154092322337e-11,0.60558522951794,0.679,0.294,1.19085043791558e-06
"RPLP0",6.06128923630588e-11,-0.796360433064836,0.208,0.683,1.85481511920196e-06
"CXCR4",7.98403099034113e-11,-0.840545731646549,0.509,0.798,2.44319332335429e-06
"FTX",8.50288439240959e-11,0.757290617326603,0.981,0.651,2.60196765292126e-06
"IL32",8.58845503271704e-11,-0.902075690417225,0.283,0.719,2.62815312456174e-06
"INPP4B",1.11145579551728e-10,1.00448189650405,0.962,0.867,3.40116587986241e-06
"RUNX1",1.39805347980247e-10,0.941629456782183,0.887,0.646,4.27818345354354e-06
"RPL6",1.77095884683417e-10,-0.579549860299246,0.34,0.751,5.41931116719724e-06
"LINC00861",1.98187060979898e-10,0.691557302415149,0.698,0.331,6.06472225304587e-06
"ETS1",2.0652282458863e-10,0.850420198001268,0.906,0.699,6.31980495523668e-06
"TNFAIP8",2.07596470994934e-10,0.7893044673917,0.887,0.54,6.35265960891597e-06
"CD52",7.56620893128426e-10,-0.832375902365897,0.377,0.716,2.3153355950623e-05
"ATG5",8.14473081386229e-10,0.609233047647426,0.604,0.268,2.49236907635e-05
"MTRNR2L8",8.80401533728037e-10,0.437801526449212,0.491,0.174,2.69411673336117e-05
"EEF1G",1.05536883737422e-09,-0.739581832538309,0.208,0.624,3.22953417924885e-05
"MAP3K7CL",1.10015259350849e-09,0.283493336416336,0.189,0.034,3.36657695139534e-05
"CRIM1",1.14493725039901e-09,0.277512794821421,0.245,0.053,3.50362247994602e-05
"SLF2",1.19610378670829e-09,0.385318587113584,0.415,0.131,3.66019719770605e-05
"ACTB",1.31930277242447e-09,-0.785097565904907,0.491,0.824,4.03719841389611e-05
"DDX17",1.9572395447881e-09,0.594779788291788,0.906,0.688,5.98934873100608e-05
"CALM1",2.2081980754676e-09,-0.758680473462593,0.415,0.755,6.7573069307384e-05
"IKZF3",2.43097333485354e-09,0.577669546956348,0.623,0.275,7.43902150198533e-05
"THEMIS",2.6083977758514e-09,0.815133282191699,0.868,0.57,7.98195803388287e-05
"CLOCK",3.20254101162344e-09,0.463825731902229,0.358,0.109,9.80009574966889e-05
"EEF1B2",3.41908350254664e-09,-0.679246990404623,0.132,0.566,0.00010462737426143
"FAM102B",4.17329976464028e-09,0.302450541216343,0.226,0.049,0.000127707146097757
"FARS2",4.31181019360346e-09,0.57064296968239,0.698,0.337,0.000131945703734459
"JUNB",4.99872700857419e-09,-0.860671979432964,0.226,0.609,0.000152966045189379
"RPL22",5.35869499208425e-09,-0.640047814974388,0.17,0.615,0.00016398142545277
"ZFP36L2",6.87972942555083e-09,-0.792485133367295,0.547,0.838,0.000210526600151281
"NLRC3",7.01136216064182e-09,0.404233598236522,0.491,0.182,0.0002145546934778
"IL7R",7.5762498176407e-09,0.663030538594589,0.943,0.888,0.000231840820669623
"CD226",7.73422714176735e-09,0.622923866351629,0.604,0.294,0.000236675084765223
"MPRIP",8.16932378436265e-09,0.38859876762114,0.472,0.17,0.000249989477125281
"FYB1",1.21635433551885e-08,0.746149578019013,0.906,0.738,0.000372216590212123
"H3F3B",1.30093306841388e-08,-0.696259722240288,0.415,0.733,0.000398098528265331
"DPYD",1.34739604283754e-08,0.597144283078116,0.962,0.884,0.000412316663068715
"TTN-AS1",1.3526846042934e-08,0.364402750551369,0.34,0.102,0.000413935015759824
"MEGF9",1.50039167644088e-08,0.328835065650532,0.321,0.091,0.000459134856907674
"VPS37A",1.91356565696401e-08,0.256759764563037,0.264,0.066,0.000585570226687556
"OIP5-AS1",2.63159184337327e-08,0.284360390776267,0.321,0.093,0.000805293419990655
"CFLAR-AS1",3.58652036086644e-08,0.26975141011193,0.208,0.046,0.00109751109562874
"CFL1",3.68803829134478e-08,-0.648379495590973,0.151,0.536,0.00112857659753442
"AP002495.1",3.99575438555718e-08,0.377706385158173,0.302,0.088,0.00122274079952435
"INPP4A",4.1557804315983e-08,0.62677281197502,0.698,0.375,0.0012717103698734
"AL592183.1",4.32226182120279e-08,0.273630265179842,0.264,0.069,0.00132265533990627
"VPS50",5.19945764145442e-08,0.524958581645728,0.453,0.181,0.00159108603286147
"SLFN12L",5.28406409941469e-08,0.677522654377128,0.811,0.545,0.00161697645506189
"NEAT1",5.32749265408487e-08,0.712443587913266,0.83,0.652,0.00163026602707651
"AC139720.1",5.65265997025388e-08,0.922761919601864,0.472,0.194,0.00172977047749739
"MSH2",5.7412351223208e-08,0.256234517882721,0.283,0.077,0.00175687535978139
"FAR2",5.82468272247393e-08,0.564880630845883,0.321,0.1,0.00178241115990425
"RAB30-DT",5.96930077131897e-08,0.254591602940924,0.226,0.054,0.00182666572903132
"ANK3",6.40409494953814e-08,0.585426756551535,1,0.891,0.00195971709550817
"AC006369.1",6.46716340917798e-08,0.432249365786361,0.34,0.107,0.00197901667484255
"VTI1A",7.33181376750157e-08,0.598268140643426,0.849,0.546,0.00224360833099316
"AC010609.1",7.88353107778102e-08,0.399213028771965,0.509,0.208,0.00241243934511177
"LINC00426",8.05585472844439e-08,0.39602368321922,0.226,0.056,0.00246517210545127
"CHST11",8.1454260160771e-08,0.672024008338814,0.849,0.588,0.00249258181517975
"PAG1",8.52122893308013e-08,0.774810255781012,0.868,0.769,0.00260758126581185
"ZCCHC7",1.01319904252723e-07,0.656240441614098,0.792,0.496,0.00310049039003759
"ZBTB44",1.125619124171e-07,0.524911573775507,0.528,0.232,0.00344450708187569
"E2F3",1.13108283482407e-07,0.272489343775272,0.283,0.08,0.00346122658284514
"ARHGAP35",1.40151867046559e-07,0.469947751949086,0.377,0.134,0.00428878728349176
"VAMP4",1.41054356832635e-07,0.270210204216136,0.264,0.073,0.00431640437343547
"TTC37",1.45799367779271e-07,0.460914964626825,0.509,0.227,0.00446160645341346
"HIVEP2",1.45908725052219e-07,0.619711458826545,0.792,0.573,0.00446495289532296
"RPS10",1.66115722837411e-07,-0.57407347216369,0.113,0.493,0.00508330723454763
"SKAP1",1.6819571089687e-07,0.535046904441648,1,0.927,0.00514695694915512
"SSBP3",1.72945163039778e-07,0.370503495623357,0.396,0.143,0.00529229493418024
"SEMA4D",1.73061108917523e-07,0.448549832069792,0.736,0.408,0.00529584299398511
"AC139887.2",1.994039202022e-07,0.360995833630647,0.34,0.114,0.00610195936210751
"ITK",2.09802382081431e-07,0.719483104074031,0.868,0.65,0.00642016269407388
"EEF1D",2.3400039744911e-07,-0.570398088536265,0.132,0.487,0.00716064616234021
"RPL4",2.34777507677277e-07,-0.571396732128561,0.245,0.609,0.00718442651243235
"AC109587.1",2.43322205126391e-07,0.311633202446523,0.283,0.084,0.00744590279907269
"PIP4K2A",2.52290242568648e-07,0.571298108645689,0.906,0.697,0.0077203337128432
"CARF",2.63188876460629e-07,0.300467499992295,0.264,0.075,0.00805384280857171
"HDLBP",2.6462163676057e-07,0.3767761990973,0.358,0.125,0.0080976867065102
"CARD8",2.64662612294411e-07,0.370687330590675,0.472,0.193,0.00809894059882126
"TNFAIP3",2.80711885365362e-07,-0.719641489034125,0.642,0.821,0.00859006440406545
"PTGDR",2.92667629861914e-07,0.310072526583429,0.226,0.059,0.00895592214140444
"NPIPB5",3.04794670240871e-07,0.308970381490461,0.377,0.135,0.0093270217040409
"SAP30L-AS1",3.07291502901631e-07,0.288693219682636,0.264,0.076,0.00940342728029281
"RCSD1",3.20444955230139e-07,0.426353979466845,0.547,0.245,0.00980593607499748
"CD96",3.22190378026992e-07,0.736243184899137,0.887,0.713,0.00985934775800399
"XKR6",3.35223954838672e-07,0.530884614211033,0.547,0.255,0.0102581882420182
"TIAM2",3.6134614745593e-07,0.416962422340049,0.377,0.138,0.0110575534582989
"ATP2B4",3.75604980363896e-07,0.350606476891804,0.547,0.24,0.0114938880041156
"PABPC1",3.78442022784081e-07,-0.639323112383166,0.736,0.922,0.0115807043392157
"SLC16A7",3.89500265420592e-07,0.543663374431054,0.547,0.275,0.0119190976221355
"TRBC2",4.18232598624427e-07,-0.646128184465701,0.113,0.465,0.0127983357505061
"SH3BGRL3",4.58253603534063e-07,-0.573244511271109,0.094,0.44,0.0140230185217458
"HSP90AA1",4.60995310352219e-07,-0.605354036626298,0.283,0.617,0.0141069174920882
"CYTOR",4.62276347187738e-07,0.332305948763745,0.358,0.127,0.014146118500292
"PLCL2",5.21330319125877e-07,0.552164951610563,0.849,0.6,0.015953229095571
"HMBOX1",5.25099755678992e-07,0.441483153653023,0.434,0.178,0.0160685776235328
