"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTPRE",3.66539570790458e-38,0.322526113307951,0.882,0.747,1.12164774057588e-33
"MBOAT1",3.86004008086098e-38,0.253966363321768,0.338,0.161,1.18121086514427e-33
"ZNF518A",3.92093017556597e-38,0.270420087068275,0.386,0.201,1.19984384302494e-33
"AC079793.1",5.13166829234303e-38,0.404389880102645,0.498,0.33,1.57034181413989e-33
"UBC",6.36399794189134e-38,-0.30493204190608,0.125,0.296,1.94744701019817e-33
"ACTG1",6.91806491678748e-38,-0.365831287953591,0.165,0.34,2.11699704518614e-33
"SH3BGRL",7.70337013495612e-38,0.348173065029829,0.504,0.314,2.35730829499792e-33
"CHST15",8.33322576855907e-38,0.263695188121467,0.516,0.307,2.55005041743676e-33
"SDCCAG8",8.70014689972097e-38,0.291572773061808,0.517,0.311,2.66233195278361e-33
"IQGAP1",8.72928106982246e-38,0.298702935789233,0.815,0.629,2.67124730017637e-33
"MAPK1",8.75115602098139e-38,0.317936761292524,0.624,0.433,2.67794125398052e-33
"ZBTB20",1.05043218719655e-37,0.428975532413218,0.797,0.692,3.21442753604016e-33
"PPP3CA",1.22340562309488e-37,0.366471047770575,0.794,0.677,3.74374354723266e-33
"BABAM2",1.64140510004194e-37,0.342190583675819,0.577,0.385,5.02286374663833e-33
"TBCK",2.09402499047066e-37,0.298563100514365,0.381,0.199,6.40792587333927e-33
"CSF3R",2.72272101676821e-37,0.301596107323377,0.85,0.669,8.33179858341239e-33
"PTPRJ",7.33606875270771e-37,0.329280659187472,0.728,0.532,2.24491039901608e-32
"TYROBP",9.14661902149336e-37,-0.373098832049107,0.223,0.395,2.79895688676718e-32
"GAPDH",1.01021298122546e-36,-0.329280996231643,0.123,0.289,3.09135274384802e-32
"FBXW7",1.29307555480381e-36,0.375727089064262,0.863,0.757,3.95694050525515e-32
"PCNX1",1.63584481022113e-36,0.397737499384402,0.72,0.591,5.00584870375767e-32
"GASK1B",2.41239377903403e-36,0.252480430876159,0.282,0.125,7.38216620322203e-32
"SLC25A6",2.84523732068301e-36,-0.258389789529536,0.084,0.24,8.70671072502208e-32
"ERCC8",2.85831809764459e-36,0.269188260607245,0.278,0.121,8.74673921060221e-32
"ETV6",3.03389100045731e-36,0.308409916430169,0.907,0.735,9.28400985049942e-32
"MTMR3",4.36370557370647e-36,0.286168193873745,0.601,0.405,1.33533754260992e-31
"C9orf72",5.10654550945109e-36,0.296435975442873,0.709,0.502,1.56265399134713e-31
"SUMF1",5.47360192005833e-36,0.397581557042065,0.603,0.432,1.67497692355705e-31
"RNF111",8.37778534676114e-36,0.278554782887095,0.57,0.368,2.56368609396238e-31
"CEP85L",9.3862321545477e-36,0.372614821756695,0.562,0.397,2.87228090161314e-31
"SESTD1",9.58043672289387e-36,0.278919502464811,0.652,0.45,2.93170944157275e-31
"TRAPPC8",1.11775216952091e-35,0.250810635992175,0.382,0.202,3.42043341395093e-31
"MAP2K5",1.50885703919086e-35,0.264497059783383,0.404,0.221,4.61725342562794e-31
"EXOC6",1.78997560961376e-35,0.290123879434363,0.434,0.25,5.47750436297906e-31
"LPP",2.16835718946977e-35,0.349377634874741,0.822,0.709,6.63538983549645e-31
