"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TXNIP",7.39802816185642e-13,0.316170682144175,0.911,0.797,2.26387059780968e-08
"AGTPBP1",7.53659564525712e-13,0.342219468645494,0.849,0.717,2.30627363340513e-08
"IQGAP1",7.53677341430188e-13,0.304000552530657,0.68,0.514,2.30632803251052e-08
"TSC22D1",8.65452739822232e-13,0.295789256837806,0.323,0.174,2.64837192913001e-08
"AC093865.1",9.83227963531957e-13,0.424349964473011,0.277,0.141,3.00877589120414e-08
"TCF12",1.03886620626417e-12,0.316658486035151,0.729,0.538,3.17903447778898e-08
"METTL15",1.19911426652791e-12,0.273184427125046,0.335,0.184,3.66940956700204e-08
"GLS",1.2399423431827e-12,0.315430041752663,0.732,0.559,3.79434756437338e-08
"SNX29",1.35963027641556e-12,0.255455037831038,0.391,0.225,4.16060460885926e-08
"LY6E",1.51413296148104e-12,-0.276404550467815,0.102,0.278,4.63339827542813e-08
"NNT",1.63550037483548e-12,0.266411322198002,0.332,0.185,5.00479469703406e-08
"PDSS2",1.76441939546554e-12,0.304284500561224,0.369,0.21,5.39929979206409e-08
"ITGAL",1.76897901496664e-12,0.294769692610382,0.714,0.539,5.41325268369942e-08
"LINC02328",1.8649862623041e-12,0.420542660978832,0.415,0.256,5.70704446127678e-08
"PTPN22",2.00120849490168e-12,0.35748564418425,0.594,0.43,6.12389811524862e-08
"GMFG",2.15151517279982e-12,-0.293142483276619,0.182,0.369,6.58385158028472e-08
"PSME1",2.22255388848233e-12,-0.30568136654903,0.178,0.36,6.80123715414477e-08
"SND1",2.26636476573601e-12,0.27662017984909,0.532,0.351,6.93530281962878e-08
"CPQ",2.36270311108616e-12,0.334565694717543,0.538,0.359,7.23010779023475e-08
"QKI",2.37735457346506e-12,0.333083296938356,0.532,0.356,7.27494273026045e-08
"FOS",2.3874709335301e-12,-0.343728461831682,0.046,0.202,7.30589980369545e-08
"RSU1",2.50699649500296e-12,0.301152919974484,0.323,0.181,7.67165997435855e-08
"OSBPL5",2.65964941621765e-12,0.310323923786413,0.56,0.397,8.13879317856764e-08
"VPS8",2.72838618770556e-12,0.297135831269489,0.431,0.264,8.3491345729978e-08
"ABHD17B",2.90500395533715e-12,0.257794412305042,0.314,0.169,8.8896026037272e-08
"FAM214A",3.23400740633297e-12,0.277179656925218,0.535,0.352,9.89638606411951e-08
"CAST",3.56142979264304e-12,0.321672565759769,0.738,0.59,1.0898331308467e-07
"KMT2A",3.79334514669427e-12,0.275136681027399,0.471,0.3,1.16080154833991e-07
"TAOK3",4.278554079966e-12,0.340908559196526,0.775,0.635,1.30928033401039e-07
"SFMBT2",4.279186210893e-12,0.402397809150857,0.545,0.387,1.30947377239537e-07
"UMAD1",4.66246794033803e-12,0.38444814212411,0.388,0.236,1.42676181442284e-07
"PARP14",4.69915515066565e-12,0.270600095749595,0.508,0.327,1.43798846765519e-07
"UTY",4.70117095185827e-12,0.356211779982687,0.542,0.366,1.43860532297815e-07
"SYK",4.84686706341473e-12,0.281251678600586,0.409,0.249,1.48318979007554e-07
"TRIM33",5.42702482936665e-12,0.274131304631034,0.582,0.396,1.66072386803449e-07
"SRPK2",5.91609368477888e-12,0.346171408770315,0.8,0.65,1.81038382847919e-07
"WIPF1",6.10294574318508e-12,0.284020268173198,0.818,0.644,1.86756242687207e-07
"AUH",6.2072245435574e-12,0.300147414435103,0.449,0.285,1.899472782574e-07
"HAVCR2",6.51111324554131e-12,0.268253143425981,0.406,0.247,1.9924657642681e-07
"DENND4C",6.74983721027158e-12,0.285945099279114,0.609,0.424,2.06551768471521e-07
"TRIP12",7.59838708358174e-12,0.286501550859355,0.637,0.455,2.32518243144685e-07
"GPATCH8",1.06626447224897e-11,0.292572396538823,0.72,0.549,3.26287591152906e-07
"DGKD",1.09575523199931e-11,0.294668677463961,0.575,0.4,3.3531205854411e-07
"ZNF407",1.11312691250094e-11,0.446620624704527,0.557,0.403,3.40627966494412e-07
"RALGAPB",1.2237404457867e-11,0.250423954589407,0.397,0.242,3.74476813815187e-07
"TTC37",1.2641251167593e-11,0.251567377090905,0.378,0.224,3.86834926979514e-07
"SETBP1",1.33354644540589e-11,0.403014534826385,0.332,0.193,4.08078547758656e-07
"TLE5",1.34182149282643e-11,-0.300499949452936,0.231,0.405,4.10610795019817e-07
"KIAA1109",1.34290118390898e-11,0.325582496079904,0.655,0.494,4.10941191287987e-07
"MLLT3",1.50867806473702e-11,0.374385401066868,0.388,0.237,4.61670574590175e-07
"SEC61B",1.529142145327e-11,-0.254393114293206,0.102,0.267,4.67932787891515e-07
"FTH1",1.56740670346738e-11,-0.349178192087558,0.308,0.481,4.79642125328052e-07
"MIF",1.70432480203652e-11,-0.253822138997252,0.095,0.259,5.21540432671197e-07
"SET",1.84444379129872e-11,-0.308122756666847,0.255,0.433,5.64418244575323e-07
"PILRB",1.99705809500081e-11,0.261213320802987,0.489,0.321,6.11119747651199e-07
"CD52",2.0257688399918e-11,-0.335995296117544,0.212,0.387,6.1990552272589e-07
"ZDHHC21",2.08058927625948e-11,0.258817062598774,0.329,0.186,6.36681124428164e-07
"GSK3B",2.13928022446303e-11,0.301933318628837,0.655,0.481,6.5464114148793e-07
"DENND1B",2.23439707699994e-11,0.358426123383715,0.557,0.394,6.8374784953275e-07
"ASCC3",2.55583271216738e-11,0.356331134945944,0.554,0.396,7.82110368250341e-07
"TMEM181",2.56674298725776e-11,0.250708729998271,0.578,0.4,7.85449021530747e-07
"YPEL5",2.79223100027467e-11,-0.368719432907911,0.188,0.352,8.54450608394053e-07
"UVRAG",3.18074761005294e-11,0.292766507659608,0.597,0.422,9.73340576152301e-07
"ATP5MC2",3.28802465136499e-11,-0.259320604305191,0.132,0.301,1.0061684235642e-06
"KLRK1",3.52525027184123e-11,0.276930517939309,0.585,0.421,1.07876183568613e-06
"CD69",3.59227625760956e-11,-0.403553196436262,0.24,0.407,1.0992724575911e-06
"PIK3R5",3.72133620122694e-11,0.309021884134828,0.729,0.558,1.13876609093745e-06
"OAZ1",3.9312137257329e-11,-0.278859532244906,0.194,0.369,1.20299071221152e-06
"MARCH7",4.29912328540968e-11,0.252255476552017,0.48,0.314,1.31557471656822e-06
"KAT6B",4.63264246779573e-11,0.366442297229887,0.612,0.468,1.41763492157017e-06
"RBM26",5.45542222263092e-11,0.273133534829737,0.532,0.366,1.66941375434729e-06
"BOD1L1",6.24985069892833e-11,0.258659468685604,0.443,0.288,1.91251681237906e-06
"MAP4K4",6.96161490175443e-11,0.297969175133228,0.357,0.215,2.13032377608587e-06
"CAMK2D",7.29060411032686e-11,0.332148039727631,0.612,0.454,2.23099776380112e-06
"ASH1L",7.9428227453011e-11,0.257444669350331,0.692,0.516,2.43058318828959e-06
"KIFAP3",8.94673093443624e-11,0.291600203092005,0.48,0.326,2.73778913324683e-06
"ANKRD17",9.09083165688476e-11,0.343490692801801,0.615,0.46,2.7818853953233e-06
"ZFP36",1.05618497387336e-10,-0.310328489573982,0.218,0.387,3.23203163854987e-06
"SCFD2",1.10376237960488e-10,0.360228018439114,0.449,0.297,3.37762325782889e-06
"EXOC4",1.17222069123281e-10,0.356975443294508,0.8,0.654,3.58711253724153e-06
"MBD5",1.17259032153526e-10,0.401919470092105,0.665,0.518,3.58824364293005e-06
"EIF3K",1.33234596935043e-10,-0.272116021863138,0.169,0.332,4.07711190080924e-06
"AKT3",1.50950570908376e-10,0.338289158503219,0.822,0.7,4.61923842036721e-06
"GMDS",1.72057420694959e-10,0.372438503377703,0.505,0.366,5.26512913068643e-06
"RNGTT",1.81409769179315e-10,0.308647558613631,0.538,0.385,5.55132034665622e-06
"ANKIB1",1.8255794657031e-10,0.314740351826911,0.502,0.345,5.58645572299806e-06
"STAU2",1.92792582223619e-10,0.367369234824617,0.468,0.325,5.89964580862497e-06
"PRIM2",2.08801900089314e-10,0.349639192525189,0.372,0.235,6.3895469446331e-06
"PZP",2.09032254126394e-10,0.289270364478417,0.326,0.192,6.39659600852177e-06
"LGALS1",2.84794352884591e-10,-0.313933234363612,0.111,0.26,8.71499199262136e-06
"BAZ2B",2.89369664406091e-10,0.283659520763888,0.4,0.251,8.8550011004908e-06
"SUMO2",3.09576475478301e-10,-0.265979169770745,0.2,0.366,9.47334972611147e-06
"KDM4C",3.15567068537058e-10,0.312537464383668,0.738,0.587,9.6566678643025e-06
"CDKAL1",3.28080624930039e-10,0.287506405846747,0.766,0.603,1.00395952034841e-05
"C2CD5",3.40936137187338e-10,0.253491504644759,0.382,0.237,1.04329867340697e-05
"PRKCB",3.42268063112825e-10,0.267501952045266,0.828,0.693,1.04737449993155e-05
"RBMS1",3.50920696194585e-10,0.264239189055462,0.477,0.319,1.07385242242505e-05
"VRK2",3.60228871691486e-10,0.292173795681911,0.332,0.202,1.10233637026312e-05
"BTF3",3.66634852100994e-10,-0.255087929939331,0.157,0.317,1.12193931091425e-05
"MEF2A",3.67665291588408e-10,0.251768393538338,0.345,0.203,1.12509255878969e-05
"TBXAS1",3.7545316695194e-10,0.311262963374135,0.326,0.196,1.14892423618963e-05
"HDAC9",3.85520563261205e-10,0.32453706701231,0.286,0.159,1.17973147563561e-05
"L3MBTL4",3.96129810955254e-10,0.338696261037696,0.474,0.33,1.21219683450417e-05
"GPATCH2",4.20278130644437e-10,0.251939870879236,0.265,0.146,1.28609310758504e-05
"GRIK4",4.79415052663686e-10,0.324936245015708,0.286,0.165,1.46705800265615e-05
"SCML4",4.94667408692257e-10,0.294083509836491,0.462,0.316,1.51373173733918e-05
"RALGAPA2",4.94824371514142e-10,0.271578826410239,0.468,0.316,1.51421205927043e-05
"CCL4",5.21768617649405e-10,-0.3123582052716,0.194,0.357,1.59666414686894e-05
"ETV6",5.48528808390114e-10,0.281559933849714,0.397,0.254,1.67855300655459e-05
"IL18RAP",5.98881009375197e-10,0.287518122095536,0.462,0.316,1.83263577678904e-05
"LCORL",6.60783604424532e-10,0.323844688416574,0.437,0.292,2.02206390789951e-05
"PHIP",7.28526380900872e-10,0.279158595233221,0.557,0.397,2.22936357819476e-05
"SMYD3",7.35040617339865e-10,0.429501525876268,0.782,0.663,2.24929779312172e-05
"PACS1",7.7928623144351e-10,0.341576063958945,0.622,0.472,2.38469379684029e-05
"FAM120B",8.2091242493038e-10,0.268890884076859,0.391,0.249,2.51207411152946e-05
"RBL2",8.56426550814472e-10,0.304891766382255,0.597,0.455,2.62075088814736e-05
"CCSER2",8.67956404722824e-10,0.290115861508226,0.726,0.569,2.65603339409231e-05
"IER2",9.06114320224422e-10,-0.318015506580506,0.197,0.352,2.77280043131875e-05
"PCCA",9.08152604546844e-10,0.256837482414087,0.48,0.322,2.7790377851738e-05
"TGFB1",9.11184973767798e-10,-0.29834228931982,0.382,0.541,2.78831713822684e-05
"AC011246.1",9.2572259168848e-10,0.445984095534169,0.203,0.104,2.83280370282592e-05
"DNAJB14",9.3449114388716e-10,0.269967411374073,0.551,0.394,2.8596363494091e-05
"RNF13",9.82230093217998e-10,0.290715942113134,0.428,0.283,3.0057223082564e-05
"SCLT1",1.05838035731812e-09,0.333482283325002,0.6,0.454,3.23874973142917e-05
"CEP85L",1.06798171838965e-09,0.274878400808019,0.603,0.447,3.26813085644417e-05
"AEBP2",1.07291184977373e-09,0.295069127532599,0.378,0.242,3.2832175514926e-05
"DIPK1A",1.11909315758488e-09,0.281519984060873,0.295,0.172,3.4245369715255e-05
"PPIB",1.12971477871684e-09,-0.263969265365678,0.191,0.348,3.4570401943514e-05
"TMEM71",1.16000735934401e-09,0.255638884771255,0.36,0.225,3.5497385203286e-05
"BCL11B",1.40445701312289e-09,0.256948932037235,0.486,0.326,4.29777890585734e-05
"SUB1",1.42786385927288e-09,-0.284038539499506,0.28,0.439,4.36940619576093e-05
"COP1",1.44608465720952e-09,0.27886805253462,0.763,0.601,4.42516365952685e-05
"ENTPD1-AS1",1.45700455879499e-09,0.275930423535452,0.249,0.136,4.45857965036854e-05
"NFKBIA",1.49672983664749e-09,-0.335779757490322,0.117,0.259,4.580142973125e-05
"INVS",1.86227345912991e-09,0.329867347538349,0.406,0.264,5.69874301228344e-05
"HSP90AB1",2.01895263740387e-09,-0.304047822453929,0.215,0.365,6.17819696571958e-05
"SOS1",2.3012359591019e-09,0.272631581262077,0.569,0.408,7.04201215844772e-05
"FCHSD2",2.62358936534648e-09,0.270127004548886,0.431,0.282,8.02844581689677e-05
"PCED1B-AS1",2.66789901754959e-09,-0.250968298639487,0.178,0.329,8.16403778360349e-05
"EFHD2",2.77751296858640e-09,-0.307043413184327,0.437,0.571,8.49946743517123e-05
"ZFAND3",3.01672512294814e-09,0.27475672265187,0.902,0.809,9.23148054873359e-05
"TMEM135",3.30253709965968e-09,0.250000448145937,0.369,0.232,0.000101060937786686
"RNF149",4.05771484277818e-09,0.267668790220848,0.502,0.353,0.000124170131903855
"CTPS1",4.56613819206329e-09,-0.288565829469918,0.129,0.268,0.000139728394815329
"FRY",4.84102934372846e-09,0.360340485734899,0.357,0.231,0.000148140338947435
"COMMD10",4.99316983143684e-09,0.400431678039565,0.431,0.306,0.000152795990011799
"NFAT5",5.95075283461234e-09,0.265991528703315,0.637,0.493,0.000182098987491972
"RAP1GAP2",6.10472282001776e-09,0.281010102948775,0.852,0.752,0.000186810623015363
"NIN",7.02889354427609e-09,0.251533132636521,0.422,0.28,0.000215091171348393
"MDFIC",7.61661445392491e-09,0.261288281126792,0.209,0.111,0.000233076018904556
"YWHAZ",9.61116285157951e-09,-0.344202171343987,0.637,0.727,0.000294111194421185
"DYM",1.01291010001182e-08,0.283545661083059,0.618,0.487,0.000309960619704617
"VOPP1",1.02989852873009e-08,0.274801144143444,0.44,0.303,0.000315159248776694
"ATR",1.07064374434206e-08,0.288820996762313,0.471,0.332,0.000327627692206113
"XYLT1",1.08268722830952e-08,0.283176707716036,0.446,0.31,0.000331313118734995
"MAP2K5",1.23876414432574e-08,0.258562372467213,0.369,0.238,0.00037907421580512
"USP36",1.27976832916401e-08,-0.256664464742445,0.182,0.323,0.000391621906407479
"ARPC3",1.30222509640286e-08,-0.260592623223686,0.277,0.425,0.00039849390175024
"DUSP2",1.30466779803721e-08,-0.260854068783121,0.169,0.317,0.000399241392877367
"ELP4",1.33284415280767e-08,0.307381544415521,0.388,0.261,0.000407863639200676
"TMCC1",1.34836040741569e-08,0.288015414155058,0.258,0.149,0.000412611768273277
"XKR6",1.52710401871245e-08,0.306091929771769,0.36,0.236,0.000467309100766196
"REL",1.81000807704859e-08,-0.329767737496504,0.514,0.631,0.00055388057165764
"NCL",1.8227859528726e-08,-0.31082901021918,0.446,0.558,0.000557790729438543
"HNRNPC",1.94816105632975e-08,-0.292788172348338,0.628,0.699,0.000596156764847466
"CCDC91",1.98407733320192e-08,0.292709082771248,0.68,0.547,0.000607147504733121
"SARAF",2.0669992016154e-08,-0.299901788557364,0.406,0.545,0.000632522425686329
"SBF2",2.17141614070442e-08,0.299651605454669,0.428,0.291,0.00066447505321696
"DIAPH2",2.31786423446005e-08,0.304933917786606,0.455,0.316,0.000709289634387121
"ZFP36L2",2.37655263716624e-08,-0.32947689787134,0.6,0.68,0.00072724887249924
"AAK1",2.50219842153879e-08,0.25301877367168,0.763,0.62,0.000765697738975084
"ZBTB16",2.6860198488922e-08,0.282068274496842,0.649,0.519,0.000821948933959501
"BRWD1",3.30385834532579e-08,0.263103716781484,0.585,0.448,0.00101101369225315
"CRY1",3.40962731571745e-08,-0.262873409711489,0.268,0.419,0.0010433800548827
"STK4",3.45654941656724e-08,0.260830042415544,0.788,0.657,0.00105773868696374
"RPS6KC1",4.06099340451983e-08,0.269388145623788,0.385,0.263,0.00124270459171711
"PPP3CC",4.10296043807789e-08,0.258808573967433,0.609,0.461,0.00125554692365622
"SRSF7",5.18312134647198e-08,-0.270349727385076,0.289,0.426,0.00158608696323389
"PPP1R16B",5.26080863721922e-08,-0.328407521107781,0.492,0.616,0.00160986005107545
"ZFAND6",5.49059389452953e-08,-0.279647822090969,0.529,0.657,0.00168017663766498
"TRBC1",5.54001978259731e-08,-0.264186163341417,0.178,0.311,0.0016953014536726
"SIDT1",5.77784550416209e-08,0.267144757108829,0.557,0.427,0.00176807850272864
"RIN3",6.01269235330254e-08,0.295118918910812,0.631,0.513,0.00183994398703411
"CCNH",6.70152576144496e-08,0.285731179265152,0.631,0.5,0.00205073389825977
"ATG7",6.88608242115974e-08,0.266013289122806,0.388,0.261,0.00210721008169909
"CRADD",7.62531951229924e-08,0.287510436893675,0.32,0.205,0.00233342402395869
"ATP10A",8.1151993304194e-08,0.259154945737658,0.551,0.425,0.00248333214710164
"NF1",9.98415178267551e-08,0.268402647021439,0.449,0.314,0.00305525028701653
"TNFAIP3",1.00940525433439e-07,-0.358057141674845,0.308,0.429,0.00308888101878868
"CLK1",1.04276255832425e-07,-0.293700624465418,0.403,0.518,0.00319095770472805
"ITM2B",1.056120110287e-07,-0.268512895796618,0.514,0.623,0.00323183314948923
"CHD2",1.23124289517853e-07,0.267042937055423,0.723,0.588,0.00376772638353583
