"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PELI2",0.174058390535973,0.288374706354603,0.424,0.326,1
"SCLT1",0.178660721065459,0.257744006084024,0.515,0.426,1
"PLEK",0.179064566944428,-0.261286743547527,0.606,0.644,1
"PAG1",0.179925540374669,0.265939622600656,0.727,0.625,1
"HEATR5A",0.18516788892909,0.348805955660069,0.121,0.066,1
"AC007381.1",0.185543112025149,0.320785261634526,0.636,0.629,1
"PCED1B",0.198395321074769,0.302062955098195,0.545,0.498,1
"SLC4A7",0.205993321627173,0.355338768353755,0.485,0.431,1
"SOS1",0.208897108255572,0.305937690532575,0.485,0.406,1
"HACE1",0.210198927380141,0.273556673639267,0.242,0.166,1
"TANC2",0.215616635212295,0.262798072793559,0.242,0.178,1
"DIAPH2",0.216941008563665,0.267171772672668,0.606,0.598,1
"ANKUB1",0.231441895493704,0.250458703280246,0.394,0.332,1
"METTL15",0.262409264789145,0.300640060352309,0.364,0.312,1
"TRMT11",0.268100137044009,0.280183553942858,0.273,0.208,1
"ELP4",0.282650201102096,0.25943638807645,0.394,0.322,1
"SEMA5A",0.290098387976205,0.75555491969356,0.333,0.29,1
"PRIM2",0.305894777774895,0.285793855861524,0.394,0.355,1
"FHIT",0.306391227851822,0.390329714663485,0.485,0.446,1
"BX284613.2",0.306542150691266,0.636912754738506,0.545,0.62,1
"AC008696.2",0.306746899942786,0.340111099439666,0.182,0.136,1
"DOCK10",0.316301772173537,0.26684385017077,0.667,0.579,1
"UFL1",0.327284713002983,0.268638118848262,0.424,0.363,1
"LARP4B",0.32860429210776,0.263754316598147,0.485,0.457,1
"PLXDC2",0.356686070977842,0.296950404522265,0.212,0.164,1
"AC116362.1",0.372654760519924,0.41943473997906,0.273,0.218,1
"MYCBP2",0.385895018460835,0.295455883526171,0.636,0.608,1
"EIF4G3",0.416134459111692,0.31339160094315,0.636,0.685,1
"LINC00996",0.425083023891101,0.26397626399084,0.667,0.723,1
"PTPRM",0.442966435031311,0.332251901868504,0.364,0.351,1
"VIPR2",0.452232272572293,0.253160380176312,0.364,0.343,1
"PLCB1",0.455786478570322,0.305725013442061,0.212,0.168,1
"ADGRB3",0.466328334018333,0.289559140906318,0.182,0.26,1
"AC105402.3",0.472342199214326,1.31154052351125,0.152,0.125,1
"PBX3",0.695779903453481,0.286596292487462,0.576,0.658,1
"MT-ND4L",0.885773212519914,0.298877958204513,0.485,0.59,1
"NTM",0.968500450294816,0.315756093877392,0.152,0.153,1
