"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CAVIN2",1.81259271091782e-83,0.372302432191884,0.243,0.002,5.54671495467961e-79
"PPBP",9.80926798901381e-83,0.506319352293641,0.351,0.006,3.00173409731812e-78
"LYZ",4.45985232799533e-37,0.506791037068944,0.378,0.024,1.36475941088985e-32
"NRGN",4.04188637328659e-31,0.301324323867184,0.216,0.008,1.23685764908943e-26
"B2M",6.08984173994931e-23,-1.81183408368473,1,1,1.86355247084189e-18
"RPS18",3.68442321805057e-22,-2.12039932916897,0.405,0.988,1.12747034895566e-17
"RPS16",5.59612815355645e-22,-1.94838580541948,0.351,0.973,1.71247117626981e-17
"PLCG2",8.18181622430011e-22,2.17177742520511,1,0.746,2.50371758279808e-17
"RPL41",1.68775607460042e-21,-2.10619090122594,0.432,0.993,5.16470236388476e-17
"RPLP1",2.75857838603459e-21,-2.11006336081136,0.378,0.987,8.44152571910446e-17
"RPL3",3.27303268048446e-21,-1.89146034747352,0.243,0.963,1.00158073055505e-16
"RPL18A",4.10853136888369e-21,-1.86600148013791,0.324,0.956,1.2572516841921e-16
"RPS2",1.11199060264604e-20,-1.90455212891285,0.405,0.985,3.40280244315715e-16
"RPS27A",4.14319283741834e-20,-1.83906577573968,0.405,0.986,1.26785844017839e-15
"RPL11",4.91045754733644e-20,-1.78246217041147,0.297,0.975,1.50264911406042e-15
"MT-ND3",5.53755367559494e-20,-2.03845473692601,0.946,1,1.69454680026881e-15
"RPL37A",6.75680276965819e-20,-1.94412675854492,0.189,0.965,2.0676492155431e-15
"MT-CO2",6.79362437512444e-20,-1.76783221214125,0.865,1,2.07891699503183e-15
"RPS14",9.90221322856646e-20,-1.86176261962021,0.297,0.98,3.03017627007362e-15
"RPL28",1.08253780360803e-19,-1.90145838023497,0.27,0.985,3.31267393282093e-15
"RPS12",1.11749409627215e-19,-1.93037333186043,0.351,0.988,3.4196436840024e-15
"RPL30",1.24482366531249e-19,-1.87851865257443,0.243,0.976,3.80928489822276e-15
"HLA-B",1.32790784353442e-19,-1.60075144736906,0.541,0.973,4.06353079199968e-15
"RPS19",1.38418020453379e-19,-1.77974266905787,0.324,0.968,4.23572984389386e-15
"MT-CO3",1.77717274964327e-19,-1.92241297969391,0.865,1,5.43832633118336e-15
"IQCH-AS1",3.09490403376703e-19,0.397084040686089,0.351,0.04,9.47071583373047e-15
"RPS28",3.89283953546337e-19,-1.70918320200231,0.351,0.971,1.19124782624715e-14
"RPS27",4.28969793581132e-19,-1.96786677105351,0.405,0.994,1.31269046533762e-14
"RPL39",4.89532351951504e-19,-1.64738834012201,0.324,0.957,1.4980179502068e-14
"RPL13",6.45044837281196e-19,-1.8847357887164,0.486,0.995,1.97390170656419e-14
"RPL19",7.19459622384634e-19,-1.7216521439664,0.27,0.965,2.20161839045922e-14
"RPS21",7.19877341297274e-19,-1.70189947554193,0.27,0.953,2.20289665210379e-14
"RPL13A",7.90867211658808e-19,-1.87949256338852,0.405,0.991,2.42013275439712e-14
"RPL34",9.28715236342875e-19,-1.7265063753803,0.27,0.973,2.84196149473283e-14
"RPS3",9.58088326828407e-19,-1.6714858750049,0.297,0.962,2.93184608892761e-14
"MT-CYB",1.00976658072319e-18,-1.74906464342817,0.811,1,3.08998671367103e-14
"MT-ND1",1.18094206869843e-18,-1.75775319933465,0.838,1,3.61380082442407e-14
"RPL18",1.34099191933971e-18,-1.57710810160792,0.351,0.939,4.10356937237143e-14
"RPS15",1.61182351135152e-18,-1.66035819359501,0.216,0.954,4.9323411270868e-14
"RPL10",2.20914867779588e-18,-1.80938482946443,0.324,0.983,6.76021586892317e-14
"RPL37",2.87653038473772e-18,-1.62635053380313,0.351,0.953,8.8024706303359e-14
"RPL35A",2.92986453651381e-18,-1.55731316781867,0.27,0.935,8.9656784681859e-14
"RPL23A",3.14149848300553e-18,-1.60860924482192,0.297,0.954,9.61329950784523e-14
"RPS15A",3.47969437652686e-18,-1.70032503120997,0.189,0.961,1.06482127616098e-13
"RPL27A",3.90846433674282e-18,-1.57384260086528,0.297,0.96,1.19602917168667e-13
"FAU",4.58057270202473e-18,-1.52798940708335,0.27,0.931,1.40170105254659e-13
"RPS11",5.59608270766011e-18,-1.61083322405205,0.378,0.975,1.71245726937107e-13
"RPS29",5.9089018271072e-18,-1.80921953477269,0.324,0.98,1.80818304811307e-13
"MT-ATP6",6.50978703062371e-18,-1.65933073232299,0.892,1,1.99205992924116e-13
"RPLP2",9.29913589096539e-18,-1.74048476485941,0.378,0.988,2.84562857399432e-13
"RPS23",9.84521135481933e-18,-1.58942890598997,0.324,0.959,3.01273312668826e-13
"EEF1A1",2.40513210874145e-17,-1.55058346530633,0.432,0.989,7.35994476595971e-13
"RPL32",3.74479415841392e-17,-1.5606542231147,0.243,0.952,1.14594446041624e-12
"KIAA1671",6.29484217205155e-17,0.267072149173744,0.162,0.01,1.9262846530695e-12
"RPS6",7.12159999849434e-17,-1.48050199983928,0.432,0.957,2.17928081553925e-12
"RPS4X",1.29986759869895e-16,-1.51804052164969,0.324,0.927,3.97772483877867e-12
"RPS17",1.5163658322539e-16,-1.47654839273123,0.324,0.919,4.64023108328017e-12
"HLA-C",1.5337252697591e-16,-1.37832792003353,0.432,0.925,4.69335269798982e-12
"RIPOR2",1.71976708704631e-16,1.1038842623718,1,0.885,5.2626592630704e-12
"RPS9",2.45872864378692e-16,-1.41951182776485,0.297,0.877,7.52395552285235e-12
"RPS20",2.66786245812828e-16,-1.42468259500694,0.243,0.94,8.16392590811834e-12
"MT-ND2",2.84515561142621e-16,-1.63346955578558,0.73,0.998,8.70646068652534e-12
"TMSB4X",4.80078898831486e-16,-1.43352427128393,0.595,0.976,1.46908943831423e-11
"RPS25",5.58608060188926e-16,-1.44928294054939,0.297,0.939,1.70939652498413e-11
"RPL10A",9.43288314548597e-16,-1.38762574168112,0.189,0.881,2.88655657135016e-11
"RPL21",1.88729466769636e-15,-1.448156792075,0.351,0.962,5.77531041261762e-11
"RPS3A",2.33401433977741e-15,-1.34288780850139,0.351,0.926,7.14231728115287e-11
"MT-ND4",2.83547698540667e-15,-1.35638799081031,0.946,1,8.67684312304295e-11
"RPL17",8.18915212798028e-15,-1.36176116290916,0.27,0.939,2.50596244268324e-10
"MT-CO1",8.46961538577105e-15,-1.26734090687746,0.784,1,2.5917870041998e-10
"UBA52",9.41300769340485e-15,-1.32928010839621,0.189,0.824,2.88047448425882e-10
"RPL36",1.26815885995901e-14,-1.29698754443417,0.243,0.886,3.88069292736056e-10
"AC245297.3",1.28855133321475e-14,0.68057016128048,0.703,0.203,3.94309593477045e-10
"RPS8",1.7259536456833e-14,-1.32330882259013,0.27,0.925,5.28159075115547e-10
"RPL36A",2.18778886019706e-14,-1.28604164603753,0.27,0.879,6.69485269108904e-10
"RPL9",2.18855624323233e-14,-1.31062377120627,0.324,0.917,6.69720095991524e-10
"MT-ND5",2.75192352061564e-14,-1.35943405418732,0.622,0.994,8.42116116543591e-10
"RPL23",2.98297911952946e-14,-1.28648980563146,0.27,0.889,9.1282144036721e-10
"RPS13",4.00300457387937e-14,-1.2538906836507,0.297,0.912,1.22495942965283e-09
"RPL15",4.48570523820369e-14,-1.23825394854484,0.216,0.865,1.37267065994271e-09
