"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPBP",0,0.385413547257582,0.272,0.004,0
"LYZ",1.58368318588122e-279,0.646881462924104,0.445,0.034,4.84622891711513e-275
"PLCG2",9.92484885079003e-179,2.03590656495505,0.988,0.647,3.03710299683026e-174
"RPL41",4.44725391084641e-175,-1.78854283368269,0.462,0.983,1.36090416925811e-170
"RPL13",1.59659334192263e-173,-1.80392657940234,0.46,0.981,4.88573528561743e-169
"B2M",2.647354496786e-173,-1.57340418965131,0.997,1,8.10116949561482e-169
"RPS27",9.76581534376658e-169,-1.69802952407366,0.439,0.973,2.98843715334601e-164
"RPL28",5.72738896217358e-165,-1.71467929642822,0.324,0.956,1.75263829631474e-160
"RPL13A",1.81804381820104e-163,-1.63934236227338,0.5,0.98,5.56339588807701e-159
"RPS14",2.06201178426916e-161,-1.65110353650168,0.332,0.951,6.30996226104205e-157
"RPL10",4.5119065502752e-158,-1.61906568144474,0.408,0.958,1.38068852344971e-153
"RPS18",1.19314156152366e-157,-1.61514631801509,0.382,0.949,3.65113249241855e-153
"RPLP2",7.24352590051098e-157,-1.59669461247296,0.373,0.958,2.21659136081536e-152
"RPS12",2.61142570707061e-156,-1.60765515825461,0.35,0.951,7.99122380620677e-152
"TMSB4X",5.90306255434226e-149,-1.54519209768379,0.72,0.985,1.80639617225427e-144
"RPS16",2.25257707156296e-148,-1.51550348080933,0.303,0.917,6.89311109668982e-144
"RPS2",6.92872725610812e-146,-1.53236421829174,0.422,0.95,2.12025982764165e-141
"S100A8",1.24427330669412e-144,0.309011347290324,0.22,0.015,3.80760074581467e-140
"RPL19",6.56466749518403e-143,-1.45912901295551,0.286,0.921,2.00885390020126e-138
"RPS15",9.67183278396973e-143,-1.45515499654129,0.246,0.907,2.95967755022258e-138
"RPS27A",2.89165600851344e-141,-1.44091919240228,0.405,0.947,8.84875655165199e-137
"RPLP1",4.2010174183152e-141,-1.52012301126058,0.48,0.959,1.28555334017863e-136
"RPL30",9.09355130996545e-141,-1.45515763409974,0.295,0.916,2.78271763636253e-136
"RPS19",4.41828862955189e-140,-1.44070543170002,0.309,0.907,1.35204050352917e-135
"RPS3",8.09338551502536e-140,-1.42293832931815,0.315,0.911,2.47665690145291e-135
"RPL18A",7.31286917595671e-137,-1.42815247212916,0.208,0.871,2.23781109653451e-132
"MTRNR2L12",7.01959646954336e-136,2.27422286844754,0.974,0.62,2.14806671564496e-131
"RPL27A",2.11876851900966e-134,-1.36263789028856,0.312,0.9,6.48364354502147e-130
