"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPBP",0,0.336431774262198,0.234,0.003,0
"VCAN",1.72223291131061e-258,0.36565329760081,0.269,0.01,5.2702049319016e-254
"PF4",3.93899895222129e-255,0.251097936248338,0.172,0.002,1.20537306936924e-250
"RPS27",1.90743147484479e-230,-2.18485574428826,0.424,0.991,5.83693105617254e-226
"LYZ",1.15439056363083e-227,0.578964580806464,0.411,0.037,3.53255056376671e-223
"RPL41",1.31751983050523e-227,-2.14230971574286,0.446,0.989,4.03174243332904e-223
"RPS12",2.53600273774135e-226,-2.21044409289954,0.319,0.983,7.76042197776229e-222
"RPL13",2.79382219044191e-226,-2.118050105756,0.501,0.991,8.54937528497128e-222
"RPS18",2.31242973800065e-225,-2.18837938212106,0.317,0.978,7.0762662412558e-221
"RPS14",3.43720673057864e-222,-2.06204595175724,0.264,0.974,1.05181963162437e-217
"RPLP2",4.66881073530061e-221,-2.03288296595292,0.384,0.983,1.42870277310934e-216
"RPL10",4.65858584628578e-220,-2.05962273876776,0.379,0.981,1.42557385482191e-215
"RPS27A",7.62090068557759e-220,-1.96941916316672,0.399,0.982,2.3320718187936e-215
"RPL30",2.57707384824412e-218,-2.01066398319935,0.302,0.972,7.88610368301182e-214
"RPL13A",5.13961302510171e-217,-1.92785698683267,0.474,0.987,1.57277298181137e-212
"RPLP1",1.2183023045563e-215,-1.92889759184542,0.586,0.987,3.72812688217274e-211
"RPL28",7.1241435702786e-215,-2.02044937681758,0.297,0.972,2.18005917394095e-210
"RPS16",5.21099769524188e-208,-1.84088423435902,0.314,0.963,1.59461740472097e-203
"RPS2",9.82942466441522e-208,-1.80718678079228,0.509,0.981,3.0079022415577e-203
"RPS28",1.5497255586729e-207,-1.87589385120288,0.317,0.958,4.74231518209493e-203
"MTRNR2L12",2.77196959624607e-201,2.60017012311257,1,0.684,8.48250416147261e-197
"RPL11",8.30223446470279e-200,-1.73625696814079,0.359,0.962,2.5405667685437e-195
"RPS3",1.04433794065137e-199,-1.73624195866061,0.287,0.951,3.19577853218725e-195
"RPS23",1.70369849545629e-199,-1.76906530858009,0.257,0.948,5.21348776594578e-195
"RPL19",8.45834937054143e-199,-1.72795856298783,0.332,0.956,2.58833949087938e-194
"PLCG2",2.95951458635343e-198,2.05370671130652,0.995,0.711,9.05641058570014e-194
"RPS29",2.99101324127392e-197,-1.71585674477519,0.451,0.974,9.15279961962233e-193
"RPS19",8.15598569664428e-197,-1.78060161338926,0.249,0.95,2.49581318303012e-192
"RPL37A",1.51619295170145e-196,-1.7685662323905,0.302,0.954,4.63970205150162e-192
"RPL34",1.65919442965553e-196,-1.76277199516108,0.389,0.968,5.0773008741889e-192
"EEF1A1",2.27065059785597e-196,-1.73452672929239,0.539,0.984,6.94841789449907e-192
"RPS11",4.81247819170923e-196,-1.74672924859545,0.334,0.959,1.47266645144494e-191
"RPS15A",6.06343837937339e-194,-1.72981114413615,0.272,0.945,1.85547277847205e-189
"RPS21",2.69864448073151e-192,-1.71776315958148,0.292,0.943,8.25812197548648e-188
"RPL18",1.28316487776078e-191,-1.67414820063603,0.242,0.929,3.92661284243576e-187
"RPL21",1.34931486668041e-191,-1.67018511293457,0.337,0.955,4.12903842352872e-187
"RPS15",8.108893697546e-191,-1.70772461072784,0.224,0.927,2.48140256038605e-186
"RPL39",4.41489022781072e-190,-1.71220597308244,0.237,0.933,1.35100055861236e-185
"RPL27A",2.92784600561674e-188,-1.60732425063244,0.297,0.935,8.95950156178777e-184
"RPL32",1.82777757933809e-186,-1.67868278039481,0.287,0.94,5.59318217053248e-182
"RPL18A",8.64182132194606e-184,-1.63032806467802,0.267,0.932,2.64448374272871e-179
"RPS6",5.6842431312695e-182,-1.58169233793573,0.387,0.952,1.73943524059978e-177
"RPL37",1.20738521807719e-180,-1.59494384305063,0.332,0.939,3.694719505838e-176
"RPL23A",4.90043918978877e-176,-1.54341447689334,0.297,0.924,1.49958339646726e-171
"RPS20",2.18311295816018e-175,-1.51982140488854,0.282,0.92,6.68054396326598e-171
"RPS25",4.97057945557735e-174,-1.54594274084722,0.299,0.92,1.52104701920123e-169
"RPL3",1.01166703962885e-171,-1.50851296314341,0.337,0.936,3.09580230796825e-167
"RPS3A",4.93114149332473e-169,-1.49847814355469,0.314,0.923,1.5089786083723e-164
"TPT1",5.74906885137886e-169,-1.5019550586308,0.292,0.922,1.75927255921045e-164
"RPS13",5.22613583203932e-165,-1.49691889393307,0.185,0.882,1.59924982596235e-160
"RPL9",2.34998097212181e-163,-1.45308651111957,0.259,0.897,7.19117677278994e-159
"RPS8",9.96468374841282e-163,-1.449124158779,0.307,0.914,3.04929287385181e-158
"FAU",1.05082826759566e-162,-1.42760975399906,0.284,0.902,3.21563958166949e-158
"RPS17",2.75800241333712e-162,-1.43417438562815,0.229,0.879,8.43976318505293e-158
"RPL35A",2.91567106396321e-162,-1.4303751940258,0.259,0.899,8.92224502283383e-158
"RPL36",2.5255883324117e-160,-1.4125526692316,0.157,0.854,7.72855285601305e-156
"RPS4X",1.84723715438548e-159,-1.47665636918581,0.207,0.878,5.65273041613502e-155
"RPL17",1.89211901375626e-158,-1.40771649123667,0.277,0.905,5.79007339399553e-154
"S100A9",1.0716974994352e-157,0.397367725031886,0.312,0.031,3.27950151802166e-153
"B2M",1.38458413049873e-155,-1.14980655239561,0.985,0.998,4.23696589773916e-151
"RPL23",6.66558900956851e-155,-1.39253532106184,0.212,0.871,2.03973689281806e-150
