"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FILIP1L",2.41406748308072e-15,0.312039695648823,0.313,0.165,7.3872879049753e-11
"RPL36AL",2.59386549907018e-15,-0.30792681339205,0.129,0.313,7.93748781370466e-11
"SNX14",2.94562045803849e-15,0.253233650237168,0.386,0.215,9.0138931636436e-11
"AC008014.1",3.01896471816487e-15,0.326699877093716,0.331,0.173,9.23833393405633e-11
"PHIP",3.06288897899035e-15,0.313433009203434,0.689,0.493,9.37274656460837e-11
"LYPLAL1",3.70775348396022e-15,0.278199187223525,0.429,0.256,1.13460964362667e-10
"CLASP1",3.70980655172526e-15,0.314303864768546,0.518,0.33,1.13523790289345e-10
"CSNK1G3",4.67173341244112e-15,0.309917882548726,0.641,0.451,1.42959714154111e-10
"SWAP70",5.24584276350752e-15,0.284307527716932,0.735,0.542,1.60528034406094e-10
"GIGYF2",5.3054106089771e-15,0.276750843521028,0.434,0.261,1.62350870045308e-10
"KIAA2026",5.33615537441481e-15,0.280746576364925,0.477,0.296,1.63291690612468e-10
"ANKRD17",5.39928682350466e-15,0.335726847159238,0.624,0.436,1.65223576086066e-10
"WDR70",5.47979616293208e-15,0.268468030837587,0.586,0.382,1.67687242381885e-10
"TNKS",5.57335462741779e-15,0.302627639239734,0.571,0.377,1.70550224953612e-10
"SELL",5.6270744383342e-15,0.312771374962387,0.639,0.448,1.72194104887465e-10
"PRKCE",5.76612884173456e-15,0.343359138618493,0.891,0.807,1.76449308685919e-10
"TRIM44",6.14854670532702e-15,0.278247070362675,0.492,0.307,1.88151677729712e-10
"ADD3",6.67869769925284e-15,0.311581645967316,0.631,0.433,2.04374828294836e-10
"WARS2-AS1",6.70079823721632e-15,0.276438192142639,0.245,0.116,2.05051126857056e-10
"DPYD",6.87120496292694e-15,0.476154458225273,0.758,0.636,2.10265743070527e-10
"PHF14",7.00400359378407e-15,0.331899291143951,0.52,0.338,2.14329513973386e-10
"DENND5B",7.26386746878895e-15,0.331810230558612,0.482,0.307,2.22281608412411e-10
"NBEA",1.18063236346029e-14,0.327585141920062,0.374,0.213,3.61285309542482e-10
"ANTXR2",1.36880447266376e-14,0.329231045863901,0.472,0.297,4.18867856679838e-10
"RELB",1.37931145030341e-14,-0.327079411866615,0.093,0.263,4.22083096907347e-10
"TAF15",1.45718614379908e-14,0.27422231600541,0.472,0.297,4.45913531863958e-10
"UMAD1",1.50778522979135e-14,0.371350317985804,0.538,0.368,4.61397358168452e-10
"VRK2",1.55900575681294e-14,0.270456780278395,0.455,0.279,4.77071351642329e-10
"RNF169",1.98193436779471e-14,0.252645661822731,0.303,0.159,6.06491735888859e-10
"TMEM131",2.05535026288297e-14,0.305324578955091,0.793,0.613,6.28957733944818e-10
"MARK3",2.08246702391487e-14,0.262510806210431,0.487,0.304,6.37255733988189e-10
"XKR6",2.16120561252015e-14,0.323715558499726,0.439,0.27,6.61350529487291e-10
"CEP350",2.18269766056277e-14,0.302513130832451,0.525,0.35,6.67927311108813e-10
"LINC01374",2.23885869531292e-14,0.35849113668085,0.212,0.095,6.85113149352706e-10
"XYLT1",2.28275148161357e-14,0.380762665416344,0.578,0.412,6.98544780888568e-10
"ZNF331",2.408781021243e-14,-0.350793896243127,0.081,0.248,7.37111080310571e-10
"ZRANB2",3.55827067301458e-14,0.264217226485275,0.563,0.378,1.08886640864919e-09
"RBM26",3.79040746601926e-14,0.305401576033753,0.71,0.535,1.15990258867655e-09
"ZBTB16",3.85648755002766e-14,0.317479384993511,0.505,0.325,1.18012375518396e-09
"GALNT10",4.57551692764334e-14,0.255908083273878,0.359,0.203,1.40015393502814e-09
"NR3C2",4.69139479646458e-14,0.501431149908456,0.525,0.371,1.43561372166613e-09
