"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KIFAP3",2.53486971772397e-08,0.300796133857248,0.392,0.21,0.000775695482320711
"CWC27",2.69784535801561e-08,0.337022779329296,0.288,0.136,0.000825567658006356
"ITPR2",2.73660698978351e-08,0.348673713223806,0.699,0.503,0.000837429104943651
"ARRDC3-AS1",2.86228568223235e-08,0.258201731525234,0.124,0.036,0.000875888041619921
"L3MBTL3",2.98723571539974e-08,0.260358226756192,0.242,0.102,0.000914124001269475
"RASGRF2",3.23872930923026e-08,0.382745334195086,0.68,0.469,0.000991083555917553
"XPO1",3.25512078766705e-08,0.306025125236359,0.405,0.221,0.000996099512233994
"RFX3",3.36889823097341e-08,0.476419124518468,0.601,0.393,0.00103091654766017
"EVL",3.40694513345158e-08,0.336158474224079,0.588,0.391,0.00104255928028752
"PARP14",3.41218000350638e-08,0.307520671066337,0.464,0.271,0.00104416120287299
"OXNAD1",3.49301138402844e-08,0.321035477540818,0.549,0.343,0.00106889641362654
"ITM2B",3.63356545321839e-08,-0.405594923022941,0.556,0.7,0.00111190736433936
"UBR2",3.72606267028745e-08,0.381787973598677,0.556,0.367,0.00114021243773466
"ERCC6L2",3.73933451196419e-08,0.250276356524628,0.346,0.172,0.00114427375400616
"PER1",3.86775456960953e-08,-0.378557553065075,0.248,0.458,0.00118357157584621
"DOCK8",3.8856329133827e-08,0.396643800424266,0.758,0.561,0.00118904252782424
"ACTR2",3.97765288250951e-08,0.269238454982579,0.647,0.411,0.00121720155857673
"APC",4.0311532431332e-08,0.33885722239396,0.333,0.168,0.00123357320393119
"SKAP2",4.07254026484666e-08,0.325364037264255,0.333,0.166,0.00124623804644573
"UST",4.20011524675909e-08,0.354459894024892,0.431,0.241,0.00128527726666075
"CLTC",4.35797717096059e-08,0.282423840543135,0.431,0.245,0.00133358459408565
"OAZ1",4.60540181881182e-08,-0.328669967329205,0.137,0.346,0.00140929901057461
"DUSP2",4.6952799380849e-08,-0.460494455444942,0.386,0.574,0.00143680261385336
"PHC3",4.70076924651754e-08,0.368411339407488,0.569,0.367,0.00143848239712683
"CARD11",4.97060239297461e-08,0.325789867741117,0.693,0.477,0.00152105403827416
"ST8SIA4",5.04629254734074e-08,0.255681739546719,0.235,0.1,0.00154421598241174
"LINC00513",5.08673637424238e-08,0.41205455348632,0.516,0.334,0.00155659219788191
"YWHAZ",5.11921838057067e-08,-0.410041773138274,0.641,0.774,0.00156653201663843
"MAPKAP1",5.13976567029237e-08,0.345631364268435,0.386,0.214,0.00157281969276617
"TNRC6C",5.24378223701474e-08,0.303616216610421,0.66,0.442,0.00160464980234888
"SETX",5.37566385384912e-08,0.32989554140927,0.523,0.326,0.00164500689591637
"GMDS",5.41506782310152e-08,0.374768688728151,0.614,0.406,0.00165706490454729
"AC087854.1",5.43783034339661e-08,0.260010024655981,0.235,0.101,0.0016640304633828
"SFMBT2",5.56446919819103e-08,0.367993827485252,0.51,0.321,0.00170278321933844
"S100A10",5.56644982963759e-08,-0.313704525920621,0.085,0.289,0.0017033893123674
"IFI16",5.63861070809307e-08,0.324174032265519,0.471,0.285,0.00172547126278356
