"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPBP",6.26362460691159e-71,0.351006853250113,0.258,0.006,1.91673176596101e-66
"RPS11",2.3667985564107e-66,-1.98072058981418,0.15,0.954,7.24264026247237e-62
"B2M",2.68696788776872e-65,-2.22489489381318,0.9,0.993,8.22239043336107e-61
"TMSB4X",2.75930220209718e-65,-2.312896713829,0.625,0.985,8.44374066863758e-61
"RPS19",8.21322124564411e-65,-2.20871644461007,0.15,0.951,2.51332783337955e-60
"RPL41",3.20159769543282e-64,-2.19560547448169,0.233,0.959,9.79720910779397e-60
"RPS27",2.080658032767e-62,-2.03417768126739,0.142,0.931,6.36702164607029e-58
"RPL13",5.17418169306186e-61,-1.99910807104368,0.133,0.931,1.58335133989386e-56
"RPL10",9.68948017174995e-61,-2.02940275455175,0.133,0.922,2.9650778273572e-56
"RPL13A",5.08734549421833e-60,-1.88123068373766,0.208,0.934,1.55677859468575e-55
"RPL34",6.62490662358344e-60,-1.83252496370837,0.125,0.912,2.02728767588277e-55
"ACTB",2.62415949646793e-59,-2.02702432280385,0.567,0.977,8.03019047514151e-55
"EEF1A1",5.89265019916916e-59,-1.87183265199115,0.483,0.976,1.80320988744775e-54
"RPLP1",1.89237017391254e-58,-1.76690529308688,0.3,0.952,5.79084196918978e-54
"RPS27A",7.01432111395581e-58,-1.72275000912207,0.1,0.898,2.14645240408162e-53
"PLCG2",1.74371851786595e-57,1.78782061949095,1,0.879,5.33595303652159e-53
"RPS12",2.4299700274855e-57,-1.81444752564007,0.092,0.892,7.43595128110837e-53
"S100A4",2.59659738978307e-57,-2.02445284654334,0.217,0.926,7.94584767247518e-53
"RPL11",2.61641966099732e-57,-1.66586775795835,0.175,0.911,8.00650580461788e-53
"RPS2",4.34803489763221e-57,-1.79462429770072,0.267,0.928,1.33054215902443e-52
"RPL28",7.30385845320623e-57,-1.90279366879407,0.108,0.897,2.23505372526564e-52
"RPL30",1.53453701125832e-56,-1.77118584552396,0.075,0.878,4.69583670815158e-52
"RPL27A",9.1438180257378e-56,-1.61987969589915,0.05,0.867,2.79809975405602e-51
"RPL37A",9.6414708807596e-56,-1.60598695175882,0.142,0.891,2.95038650422124e-51
"RPS16",1.19215210702428e-55,-1.65679220359142,0.108,0.886,3.64810466270501e-51
"RPS14",1.26172940868767e-55,-1.75146730919098,0.1,0.881,3.86101816352513e-51
"HLA-B",1.38110068540738e-54,-1.56454726929303,0.567,0.98,4.22630620741513e-50
"FAU",1.84886593798736e-54,-1.6198571933125,0.108,0.876,5.65771465683511e-50
"RPS29",3.12545976426467e-54,-1.61277652471718,0.15,0.886,9.56421942462631e-50
"RPLP2",3.73933601760616e-54,-1.6587760099037,0.167,0.895,1.14427421474766e-49
"RPL19",4.11968592340451e-54,-1.65288706285438,0.083,0.862,1.26066508942101e-49
"UTRN",1.80304395494523e-53,1.15188328069035,1,0.996,5.51749480652789e-49
"RPS18",3.82411471811291e-53,-1.61890802950221,0.142,0.878,1.17021734488973e-48
"FTL",5.27674275463671e-53,-1.87798512354,0.267,0.921,1.61473605034638e-48
"RPS15",9.56502886688997e-53,-1.52459340010741,0.083,0.853,2.926994483557e-48
"RPS15A",1.27460401077381e-52,-1.53790880459584,0.033,0.835,3.90041573336892e-48
