"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTMA",7.58751648019498e-19,-0.704066364779056,0.538,0.782,2.32185591810447e-14
"RPL4",1.1790296193694e-18,-0.620776580697354,0.237,0.591,3.60794853823229e-14
"FTX",2.92743567754516e-18,0.642701109007898,0.891,0.728,8.95824591685594e-14
"PTPRC",5.25943133915825e-18,0.493081478327356,1,0.995,1.60943858409582e-13
"AC079793.1",5.40042784091089e-18,0.667986261550827,0.891,0.684,1.65258492359714e-13
"CXCR4",5.40054860287926e-18,-0.681147258500111,0.218,0.555,1.65262187796708e-13
"IKZF1",9.58749920129895e-18,0.625056958579666,0.872,0.626,2.93387063058949e-13
"PFN1",1.12376969474948e-17,-0.687510200380505,0.256,0.587,3.43884764290288e-13
"CHST11",2.58784130833209e-17,0.751782609867897,0.846,0.625,7.91905318762703e-13
"RUNX1",2.90904972401663e-17,0.654990486453448,0.891,0.634,8.90198306046328e-13
"LEF1",2.94227226244436e-17,0.786139263378023,0.885,0.715,9.003647350306e-13
"BTG1",4.59730751930551e-17,-0.637144601628401,0.628,0.806,1.40682207398268e-12
"FLI1",4.62746405590964e-17,0.52210006412128,0.577,0.284,1.41605027574891e-12
"FAM53B",5.90706206848392e-17,0.307106488705224,0.346,0.116,1.80762006357676e-12
"RPS10",6.6647707263819e-17,-0.575480217486553,0.115,0.457,2.03948648998012e-12
"CNTRL",1.06778137232346e-16,0.542896342595865,0.673,0.385,3.26751777744702e-12
"PDE4DIP",1.28644819042393e-16,0.262199368415166,0.269,0.078,3.93666010751626e-12
"SLFN5",1.37267995996833e-16,0.553595835352203,0.647,0.355,4.20053794549908e-12
"EEF1B2",1.56634780940713e-16,-0.583635710207065,0.179,0.523,4.79318093156677e-12
"COX4I1",2.16782498883889e-16,-0.541367420677972,0.071,0.401,6.6337612483459e-12
"ITK",4.91271803742136e-16,0.60292390946923,0.872,0.707,1.50334084663131e-11
"S100A4",5.56064252705842e-16,-0.728241249061224,0.224,0.546,1.70161221970515e-11
"AC009505.1",7.68808747077355e-16,0.25255405830031,0.237,0.065,2.35263164693141e-11
"SLAMF6",1.38330183703036e-15,0.324335386949573,0.288,0.093,4.23304195149661e-11
"EEF1D",1.63045286767735e-15,-0.525485419852552,0.135,0.458,4.98934882037946e-11
"SMAD3",2.70952387532776e-15,0.430241994923778,0.462,0.204,8.29141401089047e-11
"AC093865.1",4.53680045914808e-15,0.749615804445946,0.647,0.385,1.3883063085039e-10
"PFDN5",9.26952478395904e-15,-0.490910568773044,0.096,0.412,2.83656727913931e-10
"WWP1",1.2129126655863e-14,0.485278502302603,0.769,0.477,3.71163404796063e-10
"PABPC1",1.31254084892028e-14,-0.600194441398193,0.506,0.753,4.01650625178095e-10
"PCNX1",1.31732028932744e-14,0.564110655655356,0.942,0.823,4.03113181737089e-10
"ANKRD44",1.47032764597917e-14,0.467304089145323,0.968,0.908,4.49934962946086e-10
"ZBTB20",1.51510515986864e-14,0.583776045666169,0.942,0.869,4.63637329971403e-10
"MDFIC",1.55546055386588e-14,0.557365373790799,0.615,0.346,4.75986484088499e-10
"DOCK11",1.74396161987017e-14,0.510852668243371,0.737,0.481,5.33669695296469e-10
"RESF1",1.75509758092599e-14,0.498921057756278,0.744,0.484,5.37077410739161e-10
"LTB",1.97904915398501e-14,-0.681328604115445,0.314,0.584,6.05608831610952e-10
"SMG1",2.18961453552397e-14,0.42533675491697,0.679,0.404,6.70043944015689e-10
