"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","RPL11",0,-1.54179844425489,0.368,0.935,0
"2","RPS27",0,-1.94655290607499,0.429,0.981,0
"3","RPS27A",0,-1.72017623096793,0.402,0.964,0
"4","RPL37A",0,-1.53832214354184,0.319,0.916,0
"5","MTRNR2L12",0,2.33267656306606,0.986,0.66,0
"6","PPBP",0,0.361496692334425,0.255,0.004,0
"7","RPL34",0,-1.55445402777114,0.382,0.937,0
"8","VCAN",0,0.322919535141516,0.228,0.011,0
"9","RPS14",0,-1.87886767142281,0.288,0.963,0
"10","RPS18",0,-1.93265135285226,0.343,0.964,0
"11","RPS12",0,-1.90586241560392,0.339,0.967,0
"12","RPL30",0,-1.75575040633034,0.298,0.943,0
"13","RPLP2",0,-1.82611813050668,0.378,0.97,0
"14","RPL27A",0,-1.50785962389391,0.3,0.919,0
"15","RPS3",0,-1.59156951575868,0.298,0.931,0
"16","RPL41",0,-1.99948495460553,0.452,0.987,0
"17","LYZ",0,0.602550858428285,0.424,0.034,0
"18","RPS29",0,-1.56161418205621,0.449,0.964,0
"19","B2M",0,-1.46805262040247,0.991,0.999,0
"20","RPLP1",0,-1.75680758227101,0.526,0.972,0
"21","RPS2",0,-1.70248080115163,0.455,0.965,0
"22","RPS15A",0,-1.54525503632541,0.297,0.928,0
"23","PLCG2",0,2.08154864042358,0.992,0.679,0
"24","RPL13",0,-1.97101373603244,0.476,0.986,0
"25","RPL19",0,-1.61388262374057,0.3,0.939,0
"26","RPS15",0,-1.59098637453189,0.237,0.919,0
"27","RPS28",0,-1.6253832132646,0.322,0.928,0
"28","RPL18A",0,-1.5549653355788,0.238,0.903,0
"29","RPS16",0,-1.70165906266794,0.313,0.94,0
"30","RPS19",0,-1.64788788435588,0.275,0.93,0
"31","RPL18",0,-1.47471806199804,0.259,0.892,0
"32","RPL13A",0,-1.79831851109025,0.484,0.984,0
"33","RPS11",0,-1.53972204879616,0.369,0.939,0
"34","RPL28",0,-1.89403089789013,0.305,0.965,0
"35","RPL39",0,-1.54005019712955,0.234,0.896,0
"36","RPL10",0,-1.84294333292504,0.391,0.97,0
"37","RPS23",1.59795358723367e-305,-1.49235350957988,0.288,0.905,4.88989777229376e-301
"38","RPL3",1.53786245042108e-303,-1.44334209407999,0.342,0.922,4.70601288453354e-299
"39","RPL32",1.60183807366228e-292,-1.44615389077208,0.275,0.896,4.90178468921395e-288
"40","FAU",4.46785478396277e-289,-1.36618227150718,0.285,0.885,1.36720824244045e-284
"41","RPS20",3.11249349610228e-287,-1.37446086301999,0.27,0.885,9.52454134742259e-283
"42","S100A9",1.39576526586273e-286,0.368599943010035,0.283,0.029,4.27118129006655e-282
"43","RPL21",4.63053192264734e-284,-1.41734194496877,0.342,0.906,1.41698907364931e-279
"44","RPL23A",3.20884926251332e-282,-1.35564038695118,0.314,0.894,9.81939962821702e-278
"45","S100A8",1.34341002210871e-281,0.279494346394945,0.212,0.016,4.11096900865486e-277
"46","RPS21",9.49174430993455e-278,-1.44266953873415,0.264,0.876,2.90456867628307e-273
"47","EEF1A1",1.94265624786773e-276,-1.3971498477219,0.554,0.956,5.94472238410003e-272
"48","RPL17",1.93663837358656e-273,-1.32016623387245,0.291,0.887,5.92630708701225e-269
"49","RPS25",5.90379322042847e-270,-1.33599093036832,0.309,0.88,1.80661976338332e-265
"50","RPL37",3.50384681438784e-268,-1.36590594337215,0.331,0.885,1.07221216367082e-263
"51","TPT1",6.76823428011424e-267,-1.3077626650186,0.297,0.886,2.07114737205776e-262
"52","RPS4X",1.15220506712661e-263,-1.34133696913262,0.229,0.846,3.52586272591415e-259
"53","RPS6",2.59426432686689e-263,-1.33550201622721,0.391,0.899,7.93870826664538e-259
"54","RPL9",5.19060436126371e-260,-1.28370547180826,0.264,0.854,1.58837684059031e-255
"55","TMSB4X",8.85969574848253e-258,-1.38650544572401,0.685,0.96,2.71115549599314e-253
"56","RPS8",3.55655954121184e-253,-1.26679762889052,0.312,0.874,1.08834278520624e-248
"57","RPS17",2.15748825872326e-251,-1.27201810891368,0.229,0.826,6.60212982051903e-247
"58","RPL35A",2.18523200727064e-250,-1.25640942660627,0.266,0.846,6.68702846544888e-246
"59","RPS13",1.52109404193139e-247,-1.26471238252923,0.211,0.826,4.65469987771426e-243
"60","RPS3A",2.92813330894579e-243,-1.26280064837193,0.301,0.857,8.96038073870501e-239
"61","RPL23",1.1405280519224e-242,-1.23487899553379,0.216,0.818,3.49012989168775e-238
"62","RPS26",9.09941103457818e-235,-1.20373325848613,0.274,0.834,2.78451077069127e-230
"63","RPS9",7.17906053580849e-234,-1.20957590646726,0.199,0.794,2.19686431456276e-229
"64","RPL36",1.39890391400804e-233,-1.19963613973844,0.185,0.79,4.28078586725599e-229
"65","RPL26",2.95868428152279e-232,-1.16370398820982,0.279,0.84,9.0538697698879e-228
"66","RPL15",2.88942149042346e-229,-1.15271809830003,0.225,0.799,8.84191870284483e-225
"67","RPS24",1.26041347871735e-220,-1.10977475898564,0.308,0.842,3.85699128622295e-216
"68","RPS5",2.68632741324426e-217,-1.12670711439521,0.179,0.765,8.22043051726875e-213
"69","HLA-B",8.40355033135251e-215,-1.06709945420242,0.776,0.971,2.57157043689718e-210
"70","RPS7",6.93760396059786e-210,-1.09670321128224,0.254,0.794,2.12297618798255e-205
"71","RPSA",6.55928570414901e-209,-1.08972672178319,0.293,0.809,2.00720701832664e-204
"72","RPL29",6.45801349984068e-208,-1.09527454366238,0.148,0.732,1.97621671108625e-203
"73","HLA-C",2.68017706592921e-205,-1.14364005183962,0.636,0.93,8.20160983944998e-201
"74","RPL12",2.75327536603014e-197,-1.04015989051727,0.196,0.754,8.42529794758883e-193
"75","RPL36A",1.4862684650868e-196,-1.09681954282021,0.212,0.757,4.54813013001211e-192
"76","UBA52",1.96446749629352e-195,-1.03929141123976,0.194,0.742,6.0114669854078e-191
"77","TMSB10",1.02952341724023e-193,-1.07722729103098,0.407,0.856,3.15044460909683e-189
"78","RPL31",5.11194118458801e-190,-1.0329568813047,0.268,0.786,1.56430512189578e-185
"79","HIST1H1E",8.02560651533643e-189,0.590336087749479,0.526,0.145,2.4559158497581e-184
"80","RPL7",1.73021808393105e-188,-1.01259827159984,0.188,0.729,5.2946403586374e-184
"81","MBNL1",4.11523008432195e-187,1.02984880275527,0.996,0.949,1.25930155810336e-182
"82","MTRNR2L8",9.50017654079831e-187,0.692546601039512,0.611,0.193,2.90714902324969e-182
"83","RPL8",8.77142243027814e-186,-0.995817168480508,0.182,0.722,2.68414297788941e-181
"84","RPL10A",9.56811344950995e-186,-1.02732248690091,0.291,0.789,2.92793839668454e-181
"85","EIF1",2.99842582365702e-185,-1.00369991765228,0.347,0.807,9.17548286297283e-181
"86","MT-CO3",2.04814112260381e-179,-0.944028170290604,0.961,1,6.26751664927991e-175
"87","RPL7A",1.61285545388981e-177,-0.973512531034529,0.275,0.771,4.93549897444819e-173
"88","RPL14",1.81164520044161e-177,-0.963687745160696,0.289,0.781,5.54381547787136e-173
"89","RPL5",2.20521282324579e-177,-0.975666107782721,0.325,0.798,6.74817176041444e-173
"90","RPL38",7.84721027470635e-171,-0.969589407405418,0.234,0.737,2.40132481616289e-166
"91","RIPOR2",8.82778019043572e-166,0.868744187299147,0.975,0.859,2.70138901607523e-161
"92","RPL35",1.94018016426185e-157,-0.892675905897383,0.181,0.682,5.9371453206577e-153
