"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","PPBP",6.54914372295815e-73,0.351883425034998,0.258,0.005,2.00410347066242e-68
"2","RPS11",2.46212878278467e-66,-1.98014572661844,0.15,0.954,7.53436028819937e-62
"3","B2M",2.78915105463218e-65,-2.22492945912052,0.9,0.993,8.53508114227994e-61
"4","TMSB4X",2.86236484880278e-65,-2.31293642013711,0.625,0.985,8.75912267382138e-61
"5","RPS19",8.53376267098373e-65,-2.20785309939798,0.15,0.95,2.61141671494773e-60
"6","RPL41",3.33669355746476e-64,-2.19479222252547,0.233,0.959,1.02106159551979e-59
"7","RPS27",2.16946750840948e-62,-2.03252573749664,0.142,0.931,6.63878752248384e-58
"8","RPL13",5.41774502109153e-61,-1.99783024547105,0.133,0.931,1.65788415390422e-56
"9","RPL10",1.01907390289051e-60,-2.02908117945549,0.133,0.922,3.11846805023524e-56
"10","RPL13A",5.36643430474618e-60,-1.88086924142808,0.208,0.934,1.64218256159538e-55
"11","RPL34",6.82407840068159e-60,-1.83252799326717,0.125,0.912,2.08823623139257e-55
"12","ACTB",2.06658202718277e-59,-2.02788547327834,0.567,0.977,6.323947661382e-55
"13","EEF1A1",6.19013001228872e-59,-1.87187265039494,0.483,0.976,1.89424168506047e-54
"14","RPLP1",1.99441425109864e-58,-1.76644222204432,0.3,0.952,6.10310704978694e-54
"15","RPS27A",7.43326699819898e-58,-1.72233909242043,0.1,0.898,2.27465403411887e-53
"16","PLCG2",1.66332016311374e-57,1.78898478464534,1,0.879,5.08992603114434e-53
"17","S100A4",2.20460803435197e-57,-2.02485237966605,0.217,0.926,6.74632104592048e-53
"18","RPS12",2.55943939890867e-57,-1.81253981547618,0.092,0.892,7.83214050460041e-53
"19","RPL11",2.68182930982672e-57,-1.66600054176538,0.175,0.911,8.20666587100074e-53
"20","RPS2",4.63694897549965e-57,-1.79463961452585,0.267,0.928,1.41895275599265e-52
"21","RPL28",7.74921562716428e-57,-1.90205109775165,0.108,0.897,2.37133747406854e-52
"22","RPL30",1.62784295389019e-56,-1.77029476839475,0.075,0.878,4.98136222319936e-52
"23","RPL27A",9.64906714036989e-56,-1.61782130829534,0.05,0.867,2.95271103562459e-51
"24","RPL37A",1.02496235722899e-55,-1.60520337385814,0.142,0.89,3.13648730935642e-51
"25","RPS16",1.26551997292405e-55,-1.65604201135118,0.108,0.886,3.87261766914487e-51
"26","RPS14",1.34211690636987e-55,-1.75086037895336,0.1,0.881,4.10701194518243e-51
"27","HLA-B",1.42373105509756e-54,-1.5647066063044,0.567,0.98,4.35675940170403e-50
"28","FAU",1.98181756450567e-54,-1.61956166744802,0.108,0.876,6.06455992914381e-50
"29","RPS29",3.31126548076723e-54,-1.61103294476431,0.15,0.886,1.01328034976958e-49
"30","RPLP2",3.98238707132192e-54,-1.65842607952498,0.167,0.895,1.21865026769522e-49
"31","RPL19",4.40142626947144e-54,-1.65231391315763,0.083,0.862,1.34688045272096e-49
"32","UTRN",1.87948936161385e-53,1.15172824602986,1,0.996,5.75142539547454e-49
"33","RPS18",4.05988775617334e-53,-1.61690086001802,0.142,0.877,1.2423662522666e-48
"34","FTL",5.32989634200444e-53,-1.87838265972432,0.267,0.921,1.63100157961678e-48
"35","RPS15",1.02891832763462e-52,-1.52437386754729,0.083,0.853,3.14859297439469e-48
"36","RPS15A",1.35071412958057e-52,-1.53615140797579,0.033,0.835,4.1333203079295e-48
"37","TMSB10",5.17018851840405e-52,-1.68527709719618,0.292,0.919,1.58212938851682e-47
"38","HLA-C",1.58380890477001e-51,-1.69935353500432,0.308,0.926,4.8466136294867e-47
"39","RPL23",1.65760263758418e-51,-1.48929874216848,0.042,0.825,5.07242983127133e-47
"40","RPS23",5.53214408021368e-51,-1.58878722380911,0.117,0.861,1.69289140998619e-46
"41","PTMA",1.21926264466784e-50,-1.44718816275279,0.492,0.957,3.73106561894806e-46
"42","RPL8",1.51084980923972e-50,-1.46584826883583,0.042,0.821,4.62335150125445e-46
"43","RPS9",1.52465834782468e-50,-1.46638788564803,0.192,0.881,4.6656070101783e-46
"44","RPL18A",3.38473103635409e-50,-1.50659490418094,0.042,0.816,1.03576154443471e-45
"45","MT-CO3",3.9763394020977e-50,-1.27575986341344,0.983,1,1.21679962043592e-45
"46","RPS28",1.02534653817341e-49,-1.4676258792453,0.083,0.833,3.13766294146447e-45
"47","PFN1",1.07697963758168e-49,-1.53220369544274,0.133,0.854,3.29566538896371e-45
"48","CFL1",2.08157272160593e-49,-1.40356851715931,0.175,0.864,6.3698206853863e-45
"49","AIF1",6.35929594164624e-49,-1.57766641940837,0.267,0.894,1.94600815110317e-44
"50","RPL21",7.96694465255278e-49,-1.46282596950596,0.167,0.858,2.43796473312767e-44
"51","S100A6",1.35382519293244e-48,-1.742653819923,0.217,0.876,4.14284047289255e-44
"52","RPL3",2.02752179886156e-48,-1.37327043447697,0.092,0.826,6.20441945669627e-44
"53","MYL6",4.63492085751866e-48,-1.42902073024437,0.125,0.844,1.41833213160928e-43
"54","RPL37",1.60355169667417e-47,-1.34807711809885,0.075,0.816,4.90702854699262e-43
"55","RPL26",1.66096731310296e-47,-1.40939735018241,0.075,0.817,5.08272607482637e-43
