"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"67","RPL37",2.42542065705413e-81,-1.11829910433532,0.365,0.861,7.42202975265134e-77
"68","RPS8",8.864802094038e-81,-1.10838962165141,0.34,0.856,2.71271808879657e-76
"69","RIPOR2",1.1519360204471e-80,1.10825921706654,0.982,0.775,3.52503941617018e-76
"70","NKG7",1.31529865129391e-80,-1.41364220999861,0.333,0.814,4.02494540282449e-76
"71","MT-CO2",5.03972685012381e-78,-0.989898805426884,0.979,1,1.54220681340639e-73
"72","RPS9",1.56934258453896e-77,-1.10022828852297,0.213,0.779,4.80234524294768e-73
"73","RPS13",5.25398029548655e-77,-1.11415805007068,0.252,0.791,1.60777051022184e-72
"74","RPL23",1.90381020715799e-76,-1.10918910018543,0.23,0.775,5.82584961492415e-72
"75","MT-ND3",2.27481434646379e-76,-1.01655480755118,0.965,1,6.96115938161383e-72
"76","RPS5",1.27695787202126e-75,-1.0829516653037,0.181,0.741,3.90761878417224e-71
"77","RPSA",1.92212035109791e-75,-1.08566956972457,0.344,0.822,5.88188048639472e-71
"78","RPL36",2.52899605811706e-75,-1.08664571434214,0.227,0.766,7.73898083744403e-71
"79","S100A4",1.15404502907055e-74,-1.18187075138265,0.298,0.789,3.5314931934588e-70
"80","RPL26",4.19268647713605e-74,-1.05082942519009,0.305,0.815,1.2830039888684e-69
"81","RPS7",1.25512010568626e-73,-1.05869654845754,0.245,0.773,3.84079303541051e-69
"82","FLI1",6.34231413565094e-73,0.827577656175149,0.691,0.259,1.94081154865054e-68
"83","UBA52",3.71526863604453e-72,-1.03319130881643,0.181,0.734,1.13690935531599e-67
"84","PFN1",1.74755055806559e-71,-1.12813967022235,0.287,0.774,5.3476794627365e-67
"85","PTMA",3.95259054260996e-71,-1.0381995459885,0.578,0.912,1.20953223194407e-66
"86","RPS3A",2.15781712278354e-70,-1.01703396622616,0.355,0.827,6.60313617742993e-66
"87","RPS26",2.1707557159384e-70,-1.05735791260622,0.284,0.794,6.64272956634309e-66
"88","RPL8",2.36726781994757e-69,-1.02141624168527,0.227,0.746,7.24407625582157e-65
"89","RPL29",4.65582913973706e-69,-1.01115648722212,0.135,0.688,1.42473027505094e-64
"90","S100A8",1.96349046741518e-68,0.258771089384914,0.184,0.019,6.0084771793372e-64
"91","RPL12",3.01293895444376e-68,-0.9837513118408,0.209,0.745,9.21989449449335e-64
"92","RPL10A",8.76876923444171e-68,-1.01037125023605,0.284,0.774,2.68333107343151e-63
"93","RPL7A",8.96154837389874e-66,-0.972592722507505,0.27,0.766,2.74232341789675e-61
"94","TMSB10",7.26246235563649e-63,-1.00357883001138,0.45,0.836,2.22238610544832e-58
"95","RPL14",4.18316981143577e-62,-0.920828898164575,0.305,0.783,1.28009179399746e-57
"96","RPL36A",4.85862296175777e-60,-0.959803025447707,0.252,0.734,1.4867872125275e-55
"97","RPL31",7.89305091521045e-60,-0.920874436092619,0.294,0.762,2.41535251056355e-55
"98","MT-ND1",1.17030111877646e-59,-0.887636717057026,0.954,0.999,3.58123845356784e-55
"99","MT-ATP6",2.21035309782845e-59,-0.834260499930982,0.989,1,6.76390151466485e-55
"100","MT-CYB",2.34245525764192e-59,-0.899457535733564,0.926,1,7.16814733391003e-55
"101","RPL35",1.00568717036858e-58,-0.915558986689575,0.202,0.686,3.07750331004489e-54
"102","CXCR4",1.35687720538739e-57,-1.02530317289032,0.454,0.812,4.15217993620596e-53
"103","RPL27",3.82366797220126e-56,-0.877136013975437,0.184,0.666,1.17008063617331e-51
"104","ETS1",7.40012587776157e-56,0.81833046437253,0.918,0.628,2.26451251985382e-51
"105","RPL7",2.00827162592218e-54,-0.873854966593212,0.245,0.7,6.14551200248446e-50
"106","CALM1",1.16884090470346e-53,-0.904872027951096,0.507,0.832,3.57677005248305e-49
