"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"70","RPS26",4.21147413668998e-167,-1.16216543383799,0.231,0.775,1.2887532005685e-162
"71","STX7",1.48308651179669e-166,0.983794565953402,0.891,0.468,4.53839303474906e-162
"72","RPL29",3.10433971981367e-166,-1.08863126187781,0.167,0.745,9.49958997660181e-162
"73","HLA-B",9.06320897193608e-166,-1.05838480435404,0.677,0.933,2.77343257750216e-161
"74","RPL36",1.29008732745403e-164,-1.102320254335,0.198,0.757,3.94779623074207e-160
"75","RPS7",2.00455424639169e-164,-1.09511141296186,0.2,0.763,6.13413644938321e-160
"76","RPL12",1.7596519484615e-162,-1.05817566674891,0.202,0.767,5.38471092748705e-158
"77","RPSA",4.32895349868849e-160,-1.07724101082621,0.294,0.791,1.32470306013366e-155
"78","RPS24",1.03041492601517e-159,-1.05440433921439,0.279,0.806,3.15317271509904e-155
"79","RPL10A",7.81971619290312e-157,-1.05772099373433,0.249,0.777,2.39291135219028e-152
"80","MBNL1",9.81178763098003e-150,0.936607839431397,0.987,0.909,3.0025051329562e-145
"81","MT-ND3",6.19130772728826e-147,-0.972389560861069,0.978,1,1.89460207762748e-142
"82","UBA52",1.40613523351027e-145,-1.00069171498397,0.181,0.714,4.30291442806477e-141
"83","RIPOR2",4.33947492921341e-143,0.906807464424621,0.978,0.855,1.32792272308859e-138
"84","EIF1",1.38525129866162e-141,-0.976568668073426,0.383,0.815,4.23900749903443e-137
"85","RPL7",1.02109783383891e-133,-0.938165011065046,0.208,0.714,3.12466148133046e-129
"86","MTRNR2L8",4.26644279862257e-133,0.677141992768236,0.694,0.259,1.30557416080649e-128
"87","RPL36A",3.43776921569502e-132,-0.962060596961559,0.219,0.718,1.05199175769483e-127
"88","RPL31",5.30339605495245e-131,-0.920039236886405,0.249,0.747,1.622892226776e-126
"89","RPL27",1.74939607492013e-130,-0.912432738194694,0.157,0.67,5.3533269288631e-126
"90","MT-CO2",4.13566066008632e-130,-0.867588603454269,0.976,1,1.26555351859301e-125
"91","RPL14",2.64790832380764e-129,-0.936058528357664,0.231,0.73,8.10286426168377e-125
"92","RPL38",5.33120546100478e-129,-0.913766830150798,0.202,0.704,1.63140218312207e-124
"93","TMSB4X",9.16916650999557e-127,-0.957744076192802,0.622,0.884,2.80585664372374e-122
"94","CD74",4.18457619972333e-124,-0.870562426141194,0.969,0.977,1.28052216287734e-119
"95","HLA-C",5.59051376720803e-124,-0.957202361500277,0.42,0.801,1.71075311790333e-119
"96","RPL35",5.13879665989644e-123,-0.891545143586278,0.175,0.67,1.57252316589491e-118
"97","RPL5",2.8736739828706e-119,-0.851513738022187,0.323,0.766,8.79372975498233e-115
"98","HLA-DRA",4.19612897202935e-118,-1.00101063191856,0.83,0.913,1.2840574267307e-113
"99","BANK1",7.49697611181009e-118,0.773411064544396,0.987,0.968,2.29414965997501e-113
"100","TMSB10",1.14334114078333e-115,-0.917843050661777,0.391,0.79,3.49873822491106e-111
"101","TPD52",1.97602426458686e-113,0.818865044638616,0.8,0.434,6.04683185206226e-109
"102","BLNK",1.44907660047085e-112,0.633414009536942,0.617,0.24,4.43431930510084e-108
"103","RPL24",2.65051220095419e-112,-0.81425188881723,0.209,0.677,8.11083238613993e-108
"104","FCRL1",2.88537960821806e-111,0.906018448597618,0.943,0.76,8.82955013910808e-107
"105","CD79A",8.34264938902911e-110,-0.920322895940838,0.496,0.805,2.5529341395368e-105
"106","MEF2C",5.0707924189702e-106,1.00042734481872,0.948,0.787,1.55171318812907e-101
"107","MT-ND1",1.03579524190581e-104,-0.805189778228194,0.934,0.998,3.16963701975596e-100
"108","PTMA",1.12874443678508e-103,-0.839739159664808,0.666,0.887,3.45407085100602e-99
"109","FLI1",3.20972611436383e-103,0.714943667090729,0.767,0.397,9.82208288256474e-99
"110","AFF3",8.80803848779427e-102,0.785720147095735,0.98,0.958,2.69534785764992e-97
"111","MT-CYB",3.19867609427421e-101,-0.803362389234122,0.948,0.999,9.7882687160885e-97
"112","RPLP0",5.37235159246917e-101,-0.793594690762975,0.187,0.625,1.64399331081149e-96
"113","EEF1G",1.98574591648616e-100,-0.799243364974268,0.2,0.633,6.0765810790393e-96
"114","BCL11A",8.18577704555916e-100,0.801559075015351,0.795,0.459,2.50492963371156e-95
"115","RACK1",8.32203131675772e-100,-0.777936927774921,0.2,0.637,2.54662480324103e-95
"116","MT-ATP6",1.1632954909586e-96,-0.718630227595208,0.984,0.999,3.55980053188241e-92
"117","LINC02397",1.1881599658691e-93,0.549662253717025,0.485,0.169,3.63588831155605e-89
"118","RPL6",6.87565712017054e-93,-0.733227400161484,0.298,0.7,2.10401983534339e-88
"119","HLA-A",2.29750931928201e-92,-0.826377533792374,0.501,0.794,7.03060826793488e-88
"120","WASHC4",3.70339518192104e-91,0.581136955123682,0.772,0.408,1.13327595961966e-86
"121","RALGPS2",7.27778758028698e-91,0.798742142910272,0.975,0.892,2.22707577744362e-86
"122","EEF1B2",8.23003709252485e-91,-0.719710335681494,0.153,0.575,2.51847365068353e-86
"123","HDAC9",2.55256634370631e-89,1.03950103849964,0.855,0.605,7.81110826837568e-85
"124","PAX5",4.08105917086274e-89,0.723257432084122,0.893,0.6,1.24884491687571e-84
"125","CIITA",2.20283453941623e-88,0.541965269356267,0.627,0.278,6.7408939740676e-84
"126","DLEU2",3.34338541211787e-85,0.74555277661989,0.769,0.458,1.02310936996219e-80
"127","JAZF1",1.62043373404883e-84,0.822201007996584,0.809,0.521,4.95868926956282e-80
"128","ZCCHC7",5.66734417706766e-83,0.819160742980426,0.954,0.812,1.73426399162448e-78
"129","ARHGAP15",1.96147678791894e-82,0.591609985595968,0.998,0.983,6.00231511871074e-78
"130","RCSD1",2.79047109627687e-82,0.654971167878693,0.827,0.523,8.53912060171685e-78
"131","BIRC3",2.92248033249255e-82,0.709948316306919,0.754,0.429,8.94308206546044e-78
"132","MEF2C-AS2",3.3879007291079e-81,0.430132020715985,0.369,0.112,1.03673150211431e-76
"133","ZBTB20",5.74629396495461e-81,0.679335457810952,0.986,0.911,1.75842341621576e-76
"134","ARHGAP24",7.9061374906602e-81,0.928659168331678,0.907,0.801,2.41935713351693e-76
"135","RPL22",4.49601176988532e-79,-0.663766013289194,0.203,0.599,1.37582456170261e-74
"136","BTLA",6.42139485150159e-78,0.56540689460267,0.529,0.223,1.965011038508e-73
"137","MS4A1",3.55261377392775e-75,0.626678532448507,0.939,0.749,1.08713534095963e-70
"138","NACA",3.82948543831937e-75,-0.623978486657915,0.184,0.567,1.17186083898011e-70
"139","NOTCH2",5.82633296320792e-73,0.522452884724191,0.611,0.293,1.78291615007126e-68
"140","FCRL2",7.5099896084184e-72,0.550411820093006,0.611,0.297,2.29813192007212e-67
"141","ANKRD44",3.53047601491411e-70,0.522202844463902,0.991,0.951,1.08036096532387e-65
"142","CPED1",3.63118377734508e-70,0.617436813417784,0.449,0.182,1.11117854770537e-65
"143","FCRL5",5.3174672045294e-70,0.594832339671163,0.572,0.273,1.62719813925804e-65
"144","GSAP",1.46231124448447e-69,0.529065983425974,0.712,0.383,4.47481863924693e-65
"145","SYK",4.14074526873042e-69,0.611328447366423,0.742,0.431,1.2671094596842e-64
"146","RPS10",9.7423899860687e-68,-0.58125866723376,0.126,0.487,2.98126875963688e-63
"147","CXCR4",1.0595837510093e-67,-0.735621538848352,0.509,0.751,3.24243223646355e-63
"148","PFN1",1.49742790382223e-67,-0.630379710817104,0.159,0.51,4.58227912848639e-63
"149","BMP2K",2.64318717508729e-67,0.750023259413103,0.754,0.471,8.0884170744846e-63
"150","STRBP",7.3047917334439e-67,0.594912068681842,0.847,0.58,2.23533931835117e-62
"151","BTG1",4.98365637237595e-66,-0.645537480324055,0.786,0.898,1.52504868651076e-61
"152","CYBB",2.0902719010133e-65,0.466866494749428,0.572,0.272,6.39644104429081e-61
"153","H3F3B",2.19062261697144e-65,-0.650935083584319,0.376,0.678,6.70352427019429e-61
"154","ST8SIA4",6.41494274937095e-65,0.556335668231476,0.513,0.234,1.96303663073501e-60
"155","LYST",9.58488338276492e-65,0.6588309005759,0.787,0.506,2.93307016395989e-60
"156","PIK3AP1",1.09379548779636e-63,0.436784397872464,0.479,0.203,3.34712357220563e-59
"157","ARRDC3",6.18473404428942e-63,0.331402161292241,0.357,0.124,1.89259046489301e-58
"158","ZNF318",3.23736285521062e-62,0.380252516155355,0.381,0.14,9.90665407323003e-58
"159","VPS13C",5.62226664698385e-62,0.498947988523812,0.909,0.697,1.72046981664353e-57
"160","EBF1",8.53588690034825e-62,0.711714519314085,0.917,0.77,2.61206675037557e-57
"161","COX4I1",1.38231561596896e-61,-0.540060968808086,0.121,0.456,4.23002401642661e-57
"162","LTB",2.09937010608902e-61,-0.717576981495402,0.351,0.636,6.42428246164302e-57
"163","USP6NL",6.28108448795825e-61,0.574576357936748,0.72,0.429,1.9220746641601e-56
"164","GRK3",7.84663265559195e-61,0.598326850312505,0.737,0.451,2.40114805893769e-56
"165","RASA1",1.45195720761878e-60,0.473281028925507,0.592,0.299,4.44313425103423e-56
"166","TOMM7",1.69283669135244e-60,-0.544832424239596,0.121,0.453,5.18024955920761e-56
"167","PDE7A",1.50335214234248e-59,0.593162245065796,0.92,0.77,4.60040789078222e-55
"168","IRF2",7.81601164881141e-59,0.281160721089641,0.312,0.101,2.39177772465278e-54
"169","MTSS1",1.26527775203277e-58,0.689390440479529,0.816,0.593,3.87187644899549e-54
"170","LIX1",3.03337262941244e-58,0.403755023264465,0.299,0.099,9.28242358326501e-54
"171","WDFY4",3.53410452107518e-58,0.531883887986384,0.85,0.627,1.08147132449422e-53
"172","UBC",1.19430471869859e-57,-0.568348331338,0.17,0.486,3.65469186968957e-53
"173","ATP8B1",1.33882171177157e-57,0.440635895403446,0.49,0.219,4.09692832019218e-53
"174","DMXL1",2.23623051314678e-57,0.500304171372275,0.737,0.448,6.84308899328045e-53
"175","TMLHE-AS1",2.53220348438466e-57,0.322060127496306,0.271,0.082,7.74879588256551e-53
"176","HMBOX1",3.7354081697715e-57,0.461214357661436,0.557,0.276,1.14307225403178e-52
"177","ZEB2",5.88405273239589e-57,0.723799322060742,0.665,0.401,1.80057897664047e-52
"178","TAPT1-AS1",8.61868207775871e-57,0.432179725764205,0.321,0.113,2.63740290261494e-52
"179","SETX",2.65861141649506e-56,0.46619655393383,0.65,0.367,8.13561679561653e-52
"180","MGAT5",5.62464271157464e-56,0.610260741155157,0.915,0.76,1.72119691616896e-51
"181","BLK",1.45976122073861e-55,0.579628901429677,0.819,0.566,4.46701531158223e-51
"182","HPS3",1.61053593364212e-55,0.25036447909392,0.247,0.071,4.92840101053826e-51
"183","MYCBP2",2.36537272469463e-55,0.474442741430221,0.948,0.842,7.23827707483803e-51
"184","RPL4",6.50236148632292e-55,-0.527265836579087,0.263,0.57,1.98978763842968e-50
"185","SLAMF6",7.20662006589337e-55,0.302745342917035,0.283,0.091,2.20529780636403e-50
"186","TRIM5",1.96907983296613e-54,0.344582699899881,0.395,0.158,6.02558119685966e-50
"187","KMO",3.34941006076847e-54,0.392718010118639,0.376,0.15,1.02495297269576e-49
"188","IGKC",8.93183888358222e-54,-1.94956846194461,0.575,0.69,2.733232016765e-49
"189","KHDRBS2",1.54290999831497e-53,0.838145326346624,0.753,0.554,4.72145888584365e-49
"190","FCHSD2",1.00059313966636e-52,0.517157532829219,0.972,0.864,3.06191506669303e-48
"191","MT-ND4",2.81795191881966e-52,-0.486959603628619,0.962,1,8.62321466678003e-48
"192","AC079793.1",7.51977527700481e-52,0.552100521940709,0.852,0.648,2.30112643251624e-47
"193","ATG4C",1.41984308804809e-51,0.335703947181407,0.315,0.113,4.34486183373596e-47
"194","CNTRL",2.52456699617655e-51,0.481645178828768,0.661,0.392,7.72542746499987e-47
"195","EEF1D",2.62589408211877e-51,-0.481389194472995,0.142,0.445,8.03549848069164e-47
"196","IKZF1",4.82499186684861e-51,0.573248947251946,0.8,0.571,1.47649576117434e-46
"197","OSBPL10",1.03681386445596e-50,0.623220693847862,0.877,0.685,3.17275410662168e-46
"198","NETO1",1.75454373496893e-50,0.427207652095879,0.279,0.095,5.36907928337841e-46
"199","CYBA",2.71366458192595e-50,-0.564545735397209,0.408,0.662,8.30408498715159e-46
"200","BACH2",4.46653538480547e-50,0.792933061017443,0.95,0.916,1.36680449310432e-45
"201","DNAJC10",1.06566282621808e-49,0.405332329929151,0.515,0.258,3.26103481450995e-45
"202","BTK",1.22522559316914e-49,0.302068409566521,0.34,0.13,3.74931283765687e-45
"203","MT-ND2",1.7092134070081e-49,-0.503602818436697,0.943,0.998,5.23036394678549e-45
"204","TRAK2",1.86316788587836e-49,0.359027536490338,0.346,0.136,5.70148004757637e-45
"205","CD52",1.87548361803329e-49,-0.587979997531258,0.457,0.688,5.73916741954366e-45
"206","RASGRP3",2.37184662164371e-49,0.437569808889217,0.438,0.199,7.25808784689193e-45
"207","ITPR1",3.77186057140906e-49,0.563006621236789,0.882,0.708,1.15422705345689e-44
"208","TNFAIP8",4.65611940847893e-49,0.572978337704231,0.757,0.514,1.42481910018864e-44
"209","AIDA",6.59840710843976e-49,0.324650544864519,0.351,0.139,2.01917855925365e-44
"210","PTK2B",8.13501565163107e-49,0.46129901897222,0.6,0.341,2.48939613955562e-44
"211","PFDN5",1.25657263821134e-48,-0.45893821922136,0.134,0.426,3.84523793019051e-44
"212","C1orf112",2.17717970917929e-48,0.305296603299661,0.312,0.115,6.66238762805955e-44
"213","ST6GAL1",3.31495500412281e-48,0.503122704629553,0.874,0.674,1.01440938081162e-43
"214","PPP3CA",4.73055030599223e-48,0.644088570913476,0.896,0.777,1.44759569913668e-43
"215","KLHL14",6.27672072670362e-48,0.491455035681427,0.381,0.162,1.92073930957857e-43
"216","SLC15A2",7.65940176875455e-48,0.279340285465272,0.296,0.106,2.34385353525658e-43
"217","AP002075.1",1.41808807626777e-47,0.529764104239097,0.795,0.579,4.33949132218701e-43
"218","MT-CO1",1.52725674601527e-47,-0.481556849976097,0.965,1,4.67355836848132e-43
"219","C12orf42",3.15270784484471e-47,0.501390420348967,0.589,0.336,9.6476012760093e-43
"220","TRAF5",5.71834558888306e-47,0.378050250951801,0.523,0.269,1.74987093365411e-42
"221","TBC1D22A",8.62447306578981e-47,0.490743762110433,0.847,0.649,2.63917500286234e-42
