"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"497","ERCC8",5.87666223155719e-36,0.269101782290589,0.279,0.122,1.79831740947882e-31
"498","DUSP1",9.23399302242697e-36,-0.328320803740092,0.236,0.425,2.82569420479288e-31
"499","SUMF1",1.01467531658679e-35,0.397774559176746,0.604,0.434,3.10500793628723e-31
"500","MTMR3",1.91029589175656e-35,0.284251295586842,0.602,0.408,5.84569645836426e-31
"501","MAP2K5",2.51263438885697e-35,0.264602233603908,0.403,0.22,7.68891249334122e-31
"502","ETV6",2.87365780805143e-35,0.304183051648156,0.907,0.739,8.79368025841817e-31
"503","CEP85L",3.25843709161639e-35,0.370777110696478,0.561,0.397,9.97114334405531e-31
"504","LPP",4.62394156930819e-35,0.348430187695721,0.822,0.709,1.414972359624e-30
"505","P2RY8",4.96037088648744e-35,-0.321065332379993,0.197,0.379,1.51792309497402e-30
"506","QKI",5.40951042242785e-35,0.312437989018552,0.913,0.776,1.65536428436715e-30
"507","EXOC6",5.50955157909032e-35,0.289488232707981,0.435,0.251,1.68597787871743e-30
"508","LAPTM5",6.02531564776656e-35,-0.373137795812419,0.421,0.576,1.84380684137305e-30
"509","SESTD1",6.14082263174188e-35,0.275909534544497,0.654,0.454,1.87915313353933e-30
"510","AGPAT4",7.26837251649996e-35,0.26249410342409,0.327,0.161,2.22419467377415e-30
"511","C9orf72",7.43599162846892e-35,0.29178068983317,0.71,0.506,2.27548779822777e-30
"512","POLK",9.52853498713308e-35,0.268402971407035,0.508,0.311,2.91582699141259e-30
"513","TRIP12",1.0842469889585e-34,0.279766327402936,0.713,0.516,3.3179042109119e-30
"514","FNDC3A",1.59034667438663e-34,0.325675070749838,0.653,0.466,4.86661985829053e-30
"515","UVRAG",2.53363829982547e-34,0.291316168867404,0.763,0.561,7.75318656129593e-30
"516","STXBP5",2.95600109725291e-34,0.294967019502057,0.51,0.324,9.04565895770363e-30
"517","NEK7",3.18915725983049e-34,0.315984637856099,0.608,0.42,9.75914013080729e-30
"518","STK17B",3.3522048386533e-34,0.34371052861923,0.915,0.854,1.0258082026763e-29
"519","PLD1",3.59551002140461e-34,0.299777059360395,0.294,0.14,1.10026202165002e-29
"520","PHF20L1",3.66021266413392e-34,0.283976883350333,0.587,0.394,1.12006167735162e-29
"521","ACVR2A",3.74073035889661e-34,0.270012073650079,0.294,0.138,1.14470089712595e-29
"522","TTC17",4.16057243005232e-34,0.334532716719546,0.666,0.521,1.27317676932031e-29
"523","RASGEF1B",4.77712612456448e-34,0.40026521716887,0.424,0.251,1.46184836537798e-29
"524","ALPK1",8.43690014439649e-34,0.322988654231377,0.402,0.229,2.58177581318677e-29
"525","ANO6",9.45306715894058e-34,0.30063518949946,0.537,0.357,2.89273308130741e-29
"526","GABARAP",9.46248004522738e-34,-0.290810637826783,0.134,0.295,2.89561351864003e-29
"527","ZNF407",1.52812892935609e-33,0.343155503664928,0.572,0.4,4.67622733672256e-29
"528","ELF2",1.86284947725565e-33,0.313304268169177,0.738,0.556,5.70050568535003e-29
"529","PFDN5",2.09789684398383e-33,-0.300430077509055,0.175,0.343,6.41977413227492e-29
"530","FYN",2.27319765179599e-33,0.361324631961677,0.771,0.658,6.95621213426091e-29
"531","CAST",2.46023281563919e-33,0.263691976923299,0.843,0.679,7.52855843913749e-29
"532","GBE1",2.88236385706805e-33,0.266948111705285,0.354,0.187,8.82032163901393e-29
"533","PIBF1",3.1882803177292e-33,0.273059103766216,0.423,0.242,9.75645660028313e-29
"534","DNAJC13",3.46613818355673e-33,0.264129456512457,0.416,0.24,1.06067294555019e-28
"535","LSP1",3.67457174829054e-33,-0.301973897231927,0.19,0.358,1.12445570069439e-28
"536","PDGFC",4.50698875810712e-33,0.283672036352098,0.26,0.116,1.37918362986836e-28
"537","SMAD2",4.98225986701552e-33,0.270856306818211,0.461,0.277,1.52462134190542e-28
"538","CNTRL",5.45466515140153e-33,0.275265072554007,0.533,0.341,1.66918208298038e-28
"539","PRKCB",6.92030265496194e-33,0.286951059292456,0.954,0.906,2.1176818154449e-28
"540","SNX13",8.51999015063369e-33,0.280597645008958,0.523,0.336,2.60720218599542e-28
"541","CD55",9.28232046973405e-33,0.383645547037256,0.798,0.703,2.84048288694332e-28
"542","TAFA2",1.30324166680597e-32,0.366964661034036,0.312,0.159,3.98804982459294e-28
"543","PIAS1",1.73727868674081e-32,0.276907111892808,0.887,0.774,5.31624650929555e-28
