"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"68","RPS25",3.74842894057607e-77,-0.920202724623554,0.289,0.744,1.14705674010568e-72
"69","RPL35A",1.24813277787671e-76,-0.906952899904666,0.268,0.72,3.81941111358053e-72
"70","RPS17",1.66398211325152e-75,-0.913779952572672,0.224,0.696,5.09195166476099e-71
"71","TPT1",1.94211233195864e-75,-0.914023109831628,0.384,0.794,5.94305794702663e-71
"72","RPS8",9.51701622401106e-74,-0.898503265840017,0.292,0.75,2.91230213470963e-69
"73","CFL1",9.93680282108947e-74,-0.944496685647203,0.3,0.731,3.04076103128159e-69
"74","UBA52",3.13664323176113e-73,-0.865314646296126,0.181,0.671,9.59844195351223e-69
"75","RPS21",6.28378938551496e-73,-0.905493131970675,0.27,0.723,1.92290238986143e-68
"76","H3F3B",9.4682029381357e-73,-0.902194548952301,0.486,0.841,2.89736478109891e-68
"77","RPS4X",6.59758520756845e-72,-0.920852687119609,0.2,0.661,2.01892704936802e-67
"78","RPL26",2.75800723585034e-71,-0.865997114096126,0.281,0.725,8.43977794242562e-67
"79","RIPOR2",4.35394181278479e-71,0.870459537937739,0.932,0.677,1.33234973413028e-66
"80","SYNE1",2.15406522421259e-69,0.803193954433197,0.97,0.849,6.59165499261293e-65
"81","RPS13",9.38472338091674e-68,-0.84337701443274,0.251,0.697,2.87181920179433e-63
"82","PIP4K2A",1.09541434014382e-67,0.783379339057957,0.97,0.802,3.3520774222741e-63
"83","EEF1A1",2.50986231611918e-66,-0.856984591423246,0.557,0.867,7.68042967355632e-62
"84","PTPRC",2.63032579653924e-66,0.579901782472747,1,0.991,8.04905996998974e-62
"85","AC022075.1",5.11992815397945e-66,0.465547579180291,0.443,0.134,1.56674921439925e-61
"86","RPL36",6.6873450053697e-66,-0.82887408190234,0.173,0.631,2.04639444509318e-61
"87","RPL8",3.58107240047031e-64,-0.800951620977511,0.173,0.622,1.09584396526792e-59
"88","RPL12",1.98575266846166e-63,-0.813214820179651,0.181,0.631,6.07660174075952e-59
"89","AC016074.2",6.48745224691005e-63,0.405677991052086,0.373,0.1,1.98522526207695e-58
"90","CALM1",6.77722789548705e-63,-0.851553371887431,0.546,0.836,2.07389950829799e-58
"91","RPL24",1.18256648899747e-62,-0.79399347602928,0.208,0.641,3.61877171298116e-58
"92","KLRC2",5.20659365676649e-62,0.62588974608658,0.516,0.189,1.59326972490711e-57
"93","RPS7",7.4759916929723e-62,-0.794926128088552,0.232,0.659,2.28772821796645e-57
"94","RPS3A",2.66115674184257e-61,-0.803851470263418,0.341,0.718,8.14340574571244e-57
"95","RPS9",1.56664031501517e-60,-0.800230143159573,0.203,0.632,4.79407602797792e-56
"96","ATM",1.98130034056067e-60,0.792716107620199,0.949,0.762,6.06297717214971e-56
"97","RPSA",2.28400696855402e-60,-0.807099392657694,0.278,0.68,6.98928972447216e-56
"98","RPL29",6.7885277117741e-60,-0.756969320992751,0.157,0.595,2.07735736507999e-55
"99","MIR181A2HG",1.17376449933056e-59,0.371190560113471,0.243,0.049,3.59183674440145e-55
"100","S100A4",8.31073045546344e-59,-0.878715234293122,0.257,0.655,2.54316662667637e-54
"101","RPS6",1.0474755737607e-58,-0.792008152904745,0.408,0.762,3.20538000326513e-54
"102","RPS5",1.41989544822069e-58,-0.778599336964294,0.168,0.592,4.34502206110013e-54
"103","TXK",1.89837141922496e-58,0.78662872322914,0.881,0.621,5.80920637997031e-54
"104","CX3CR1",3.00174116869434e-58,0.440765828564833,0.389,0.116,9.18562815032155e-54
"105","CYBA",3.15440499246822e-58,-0.789932402519938,0.565,0.83,9.65279471745201e-54
"106","SAMD3",4.16038113154652e-58,0.754946302852012,0.846,0.574,1.27311823006455e-53
"107","ACTB",6.72672464408384e-58,-0.883232309055025,0.714,0.912,2.0584450083361e-53
"108","UTRN",1.02249031190498e-57,0.584330050220374,0.997,0.968,3.12892260346042e-53
"109","RPL7A",1.05361832553392e-57,-0.759947678920264,0.238,0.649,3.22417743796633e-53
"110","ETS1",6.59750374482264e-56,0.709377465615304,0.859,0.601,2.01890212095318e-51
"111","SLFN5",9.54357326696693e-56,0.536485728909472,0.549,0.221,2.92042885542455e-51
"112","CST7",1.90955255683831e-55,-0.8208877909942,0.354,0.71,5.84342177918092e-51
"113","JAZF1",2.75577910102132e-55,0.853436558994507,0.838,0.576,8.43295962703535e-51
"114","AC007038.1",5.92976246575206e-55,0.444743614064548,0.349,0.099,1.81456661214479e-50
"115","GSAP",9.3699545816423e-55,0.719295008952717,0.743,0.42,2.86729980152836e-50
"116","MT-ND3",9.87823453953248e-55,-0.700388484451254,0.962,1,3.02283855144233e-50
"117","H3F3A",1.48779083242674e-53,-0.754543186696921,0.489,0.795,4.55278872630905e-49
"118","PRR5L",2.43870633041746e-53,0.453319099695295,0.419,0.14,7.46268524171046e-49
"119","C11orf65",4.68443472048506e-53,0.426010685930275,0.395,0.126,1.43348386881563e-48
"120","GZMA",6.34987419303957e-53,-0.815234189809124,0.395,0.735,1.94312500181204e-48
"121","KANSL1L",1.75069815477179e-52,0.393022758670966,0.365,0.109,5.35731142341716e-48
"122","RPL31",5.37960106733127e-52,-0.703198200592539,0.262,0.658,1.64621172261404e-47
"123","RPL14",7.10082999166484e-52,-0.718555499354269,0.276,0.654,2.17292498574936e-47
"124","MYL6",9.55067711743299e-52,-0.739084749508283,0.259,0.636,2.92260270470567e-47
"125","RPL7",2.32942634345859e-51,-0.707901978774238,0.219,0.609,7.12827755361763e-47
"126","PARP8",9.00769177327028e-51,0.702279902490236,0.97,0.854,2.75644375953844e-46
"127","RPL35",5.5387949799071e-50,-0.697328051589686,0.189,0.575,1.69492665180137e-45
"128","RPL10A",8.49766815067318e-50,-0.708929135234221,0.23,0.611,2.6003714307875e-45
"129","RPL27",1.32129051546924e-48,-0.690616119020118,0.208,0.586,4.04328110638743e-44
"130","DENND2D",2.68075305617103e-48,0.361869702988816,0.386,0.127,8.20337242718896e-44
"131","RPL38",4.06796426522808e-48,-0.678240035800711,0.216,0.594,1.24483774480245e-43
"132","ST8SIA4",2.27978239214239e-47,0.527670390571311,0.432,0.162,6.97636209819494e-43
"133","MYL12A",3.24930452584893e-47,-0.695547000748642,0.295,0.658,9.9431967795503e-43
"134","UBC",3.26128005494831e-47,-0.669698571928525,0.232,0.599,9.97984309614734e-43
"135","IKZF2",1.60462695569015e-46,0.749875051927245,0.527,0.237,4.91031894710743e-42
"136","IFITM2",2.59616222485641e-46,-0.714985227551702,0.246,0.601,7.94451602428311e-42
"137","SLAMF6",2.07598944260215e-45,0.327452360312072,0.284,0.079,6.35273529330682e-41
"138","ZNF831",3.31974988247515e-45,0.5275408120716,0.543,0.24,1.01587666153622e-40
"139","TYROBP",6.17615761168627e-45,-0.68131970065468,0.297,0.646,1.88996599075212e-40
"140","ANKUB1",1.65536590683668e-44,0.463461577922851,0.419,0.155,5.06558521151092e-40
"141","RPL5",6.82088831796374e-44,-0.656862180483259,0.311,0.648,2.08726003418008e-39
"142","FGFBP2",7.71684302533186e-44,-0.817328420095503,0.278,0.611,2.3614311341818e-39
"143","ARHGAP15",1.21195052696114e-43,0.61669236220697,0.978,0.93,3.7086898075538e-39
"144","MT-ATP6",1.43158393476207e-43,-0.569443277304678,0.992,1,4.3807899987654e-39
"145","ARHGEF3",2.06124457199666e-43,0.572380484613361,0.627,0.312,6.30761451476698e-39
"146","TGFBR3",2.97799083989131e-43,0.683365862825515,0.881,0.662,9.1129497691514e-39
"147","IKZF1",3.50602644432539e-43,0.625084564505553,0.805,0.511,1.07287915222801e-38
"148","TRG-AS1",8.51795303340652e-43,0.547485350752737,0.457,0.188,2.60657880775273e-38
"149","AHNAK",1.25217620198688e-42,0.538816862036402,0.692,0.386,3.83178439570006e-38
