"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"109","COX7C",0,-0.450206704170844,0.142,0.418,0
"110","RASA1",0,0.493457244832592,0.591,0.327,0
"111","MEF2C",0,0.87981535747456,0.375,0.134,0
"112","MCTP1",0,0.861262966477361,0.31,0.067,0
"113","ST8SIA4",0,0.611264571847668,0.463,0.176,0
"114","HINT1",0,-0.477127763238105,0.14,0.43,0
"115","RPS14",0,-1.859955129643,0.252,0.938,0
"116","DOCK2",0,0.590879554445894,0.858,0.656,0
"117","LCP2",0,0.452460194719405,0.574,0.317,0
"118","RNF130",0,0.586054461491365,0.359,0.14,0
"119","RACK1",0,-0.790763297590762,0.165,0.608,0
"120","F13A1",0,0.251752256777631,0.125,0.009,0
"121","NEDD9",0,0.432511632126587,0.494,0.277,0
"122","TMEM170B",0,0.424942347519339,0.214,0.029,0
"123","KIF13A",0,0.388529003587039,0.221,0.052,0
"124","RNF144B",0,0.471794197110578,0.208,0.036,0
"125","RIPOR2",0,0.804026404326366,0.943,0.835,0
"126","HIST1H1E",0,0.507940992777106,0.447,0.127,0
"127","HLA-A",0,-1.00319899621381,0.546,0.887,0
"128","HLA-C",0,-1.20479571717229,0.513,0.896,0
"129","HLA-B",0,-1.18404214010116,0.693,0.961,0
"130","LTB",0,-0.698355767191255,0.235,0.504,0
"131","RPS18",0,-1.94294707031175,0.288,0.944,0
"132","RPS10",0,-0.594211644551554,0.104,0.46,0
"133","RPL10A",0,-1.08487921358255,0.221,0.758,0
"134","EEF1A1",0,-1.47786498793161,0.546,0.952,0
"135","STX7",0,0.517999752240676,0.404,0.152,0
"136","RPS12",0,-1.92711316057605,0.283,0.943,0
"137","STX11",0,0.277714261005015,0.193,0.058,0
"138","OPRM1",0,0.275289038215576,0.237,0.077,0
"139","IPCEF1",0,0.439261676243291,0.411,0.179,0
"140","QKI",0,0.563575700320453,0.485,0.283,0
"141","ACTB",0,-0.837323045365897,0.56,0.819,0
"142","AHR",0,0.509496215527871,0.281,0.108,0
"143","HDAC9",0,0.831129935041007,0.355,0.143,0
"144","TOMM7",0,-0.627315523396231,0.111,0.488,0
"145","SNX10",0,0.291934978322055,0.241,0.077,0
"146","SKAP2",0,0.507038456056701,0.363,0.143,0
"147","JAZF1",0,0.570523915010087,0.502,0.292,0
"148","CREB5",0,0.514655825422253,0.208,0.015,0
"149","CPVL",0,0.460761438631803,0.249,0.032,0
"150","GARS-DT",0,0.310347290934842,0.407,0.201,0
"151","ELMO1",0,0.446269911554116,0.86,0.702,0
"152","TNS3",0,0.28438772666179,0.197,0.036,0
"153","GSAP",0,0.41120440359244,0.396,0.186,0
"154","CD36",0,0.886527193264086,0.254,0.028,0
"155","TFEC",0,0.294043680247252,0.167,0.022,0
"156","TBXAS1",0,0.722636476381789,0.351,0.121,0
"157","DOCK5",0,0.407850266203029,0.28,0.109,0
"158","PTK2B",0,0.405066416193557,0.459,0.219,0
"159","HMBOX1",0,0.336816798589103,0.414,0.202,0
"160","SPIDR",0,0.590012625830588,0.636,0.418,0
"161","RPS20",0,-1.38994650228694,0.226,0.857,0
"162","RPL7",0,-1.02042623515888,0.164,0.71,0
"163","CPQ",0,0.491630753506373,0.497,0.287,0
"164","RPL30",0,-1.77919575829049,0.266,0.927,0
"165","STK3",0,0.355990758766003,0.238,0.074,0
"166","PABPC1",0,-0.583642094990524,0.634,0.82,0
"167","TRPS1",0,0.797430148501965,0.497,0.27,0
"168","AC016074.2",0,0.384208650057275,0.339,0.128,0
"169","ASAP1",0,0.563809508742934,0.53,0.303,0
"170","EEF1D",0,-0.520968543057031,0.13,0.451,0
"171","RPL8",0,-1.06295754339992,0.154,0.72,0
"172","DOCK8",0,0.622726652175071,0.882,0.716,0
"173","JAK2",0,0.735983255520225,0.487,0.218,0
"174","RPS6",0,-1.35870077264824,0.342,0.882,0
"175","C9orf72",0,0.375146707818423,0.292,0.105,0
"176","DAPK1",0,0.354508603668356,0.197,0.034,0
"177","SYK",0,0.636908116896554,0.372,0.122,0
"178","FKBP15",0,0.306332286115136,0.24,0.062,0
"179","MEGF9",0,0.608212388567418,0.332,0.123,0
"180","CNTRL",0,0.400675230778281,0.55,0.31,0
"181","DENND1A",0,0.680725187014474,0.545,0.289,0
"182","RPL35",0,-0.919305941080031,0.157,0.663,0
"183","RPL12",0,-1.06088725117266,0.168,0.728,0
