"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"68","RPL29",3.12920716194897e-33,-1.46378985967431,0.118,0.884,9.57568683628004e-29
"69","RPS26",4.29269547643718e-33,-1.5307837256574,0.162,0.9,1.31360774274454e-28
"70","RPL12",4.82046423476897e-33,-1.51098578077368,0.088,0.88,1.47511026048165e-28
"71","RPL5",5.5252256310127e-33,-1.42895987551121,0.235,0.919,1.6907742953462e-28
"72","RPL7",5.69456665020358e-33,-1.48778086457026,0.191,0.904,1.7425943406288e-28
"73","NACA",5.7769526969958e-33,-1.38866835744117,0.059,0.858,1.76780529480768e-28
"74","RPL31",4.92665657605451e-32,-1.40194761015723,0.235,0.913,1.50760617883844e-27
"75","RPL36A",5.86789261702366e-32,-1.5613240790365,0.132,0.892,1.79563381973541e-27
"76","RPS5",1.03939078948542e-31,-1.40227056302411,0.059,0.843,3.18063975490434e-27
"77","RPL36",1.09491018997483e-31,-1.46860814227358,0.074,0.85,3.35053467234196e-27
"78","PFN1",1.19939187227234e-31,-1.49684466265424,0.147,0.884,3.67025906834059e-27
"79","EEF1G",2.18113024625097e-31,-1.37292584059689,0.088,0.859,6.67447666655261e-27
"80","RPL38",5.89930037106522e-31,-1.34309733520788,0.132,0.865,1.80524490654967e-26
"81","RPL22",1.73577340040326e-30,-1.30926346861901,0.103,0.855,5.31164018257403e-26
"82","RPL27",2.26852452392016e-30,-1.33077758802448,0.074,0.832,6.94191189564809e-26
"83","RACK1",3.55080406501938e-30,-1.29752839198767,0.088,0.843,1.08658155193658e-25
"84","RPL10A",4.93554184893248e-30,-1.31750789099793,0.206,0.889,1.51032516119183e-25
"85","CYBA",7.37741550880136e-30,-1.32824508558814,0.309,0.912,2.2575629198483e-25
"86","RPL35",1.04819748225169e-29,-1.31796403588629,0.191,0.882,3.2075891154384e-25
"87","PTMA",1.54975050471841e-29,-1.39230817025564,0.485,0.957,4.74239151948881e-25
