gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610005C13Rik	61.58263515466668	0.01852432762727836	0.12738852701451964	0.14541598102603834	0.884382447740146	0.9556087633754305
0610006L08Rik	15.989753129839427	-0.09052221358204862	0.16372836233052337	-0.5528804679503769	0.5803452629039385	0.7922398658224099
0610009B22Rik	454.7901454548965	-0.0446284261198141	0.022926535989209747	-1.9465839122324557	0.05158463888338325	0.21423908290781427
0610009E02Rik	22.899443837239993	-0.06369424862653182	0.04010292857649702	-1.588269258316982	0.11222546585955599	0.3329051957279231
0610009L18Rik	52.684572689630635	-0.024127087633757354	0.03898877491298696	-0.6188213835290512	0.5360340336181195	0.7629349030678183
0610010K14Rik	259.3490813306533	0.008892088374563673	0.03725061698446429	0.2387098280351222	0.8113305953719135	0.9223675009265846
0610030E20Rik	1510.2635859421077	-0.008641745367806427	0.021765206472099813	-0.39704403350751716	0.6913349896423975	0.860826855698384
0610033M10Rik	10.073523030732328	0.008021069952119075	0.0821926872539522	0.09758860818525415	0.9222589706768751	0.9698729395580487
0610038B21Rik	33.23905083382745	0.07329454361253462	0.053899190629498564	1.3598449764553822	0.17387898620144374	0.4247492623442267
0610040B10Rik	68.34674540629364	-0.12157588808555182	0.03356469841348231	-3.622135571959052	2.921809161843338e-4	0.007389360569005654
0610040J01Rik	202.50900056106778	0.05975428453469905	0.04311485254528705	1.3859327124436815	0.1657674508528253	0.4144662122310565
0610043K17Rik	19.57971654824673	0.04793362051588191	0.05498901879073155	0.8716944140847475	0.3833751084012781	0.6455091218325113
1010001B22Rik	6.624650588763319	0.0076705186392982214	0.07638285264370845	0.10042199752708544	0.9200093065379817	0.9697131017275743
1110002J07Rik	8.568525737621393	0.07661150102962613	0.08140179126134472	0.9411525206326343	0.3466267040068897	0.6129092697902664
1110002L01Rik	442.4107157376112	-0.04517220851323034	0.020112152555371725	-2.246015606179626	0.024703008305984663	0.1355956657077933
1110003F10Rik	10.945966655483295	-0.012013521592368386	0.07586469176754355	-0.15835458251354834	0.8741774000434849	0.9519510345042449
1110004F10Rik	1634.2984144688992	-0.05799745896172127	0.015809907058019153	-3.6684250418982445	2.4404922186048775e-4	0.0065284665921524826
1110006O24Rik	10.157938616083038	0.02422552155010422	0.05522564390799485	0.43866435655261166	0.6609047575070444	0.8435036600219861
1110013H19Rik	12.57145835439298	0.008010366991681794	0.04985988609772588	0.16065754695029574	0.8723631276209386	0.9513119491986425
1110018N20Rik	19.102720721579875	0.08725906148368986	0.06585842362487905	1.3249491360544254	0.18518802211125723	0.439897283996311
1110019B22Rik	18.490910521761286	-0.04297156803267238	0.12298535756909215	-0.34940393622493887	0.7267860786429567	0.8792092701361324
1110019D14Rik	124.26020689414888	0.05405470606619481	0.03326631907337307	1.624907942083112	0.1041821756797233	0.3191119532178892
1110020A21Rik	41.29018459522555	-0.002684296124877508	0.035909084197374375	-0.0747525642849388	0.9404115843776856	0.9774097415983866
1110025L11Rik	389.8356848152001	-0.527575455234416	0.30043393434524207	-1.756044823578935	0.07908075527179889	0.27302734200783585
1110025M09Rik	43.49103865857233	0.00808881726225858	0.03658301611882563	0.22110853943767833	0.8250079212990741	0.9299144314372938
1110028F11Rik	29.648414551999856	-0.07341172179376654	0.06697470493241835	-1.0961111641752441	0.2730301295294012	0.5400827643988655
1110032F04Rik	8.616109222421542	-0.06389261527218837	0.12379647079222174	-0.5161101513097642	0.6057774783517236	0.8088548314390962
1110038B12Rik	326.44066614698687	-0.11629759842244526	0.038777400168081594	-2.999107674015031	0.0027077159651804766	0.03321649084316238
1110038F14Rik	324.8267288963342	0.02010069518119263	0.025063949026227633	0.8019763828979498	0.4225666198222225	0.6773944093993055
1110046J04Rik	60.665228797884424	0.08087571477688431	0.045718278884059764	1.769001737400981	0.07689358464653803	0.2693759400682532
1110057P08Rik	16.337883856935772	0.009553686009925687	0.45542749129058047	0.020977402973309012	0.9832636815243532	0.9954847110614674
1110059E24Rik	747.6033943360673	-0.0856967949344347	0.029499300783732182	-2.9050449555636058	0.0036720035487119683	0.040505510270113024
1110059G10Rik	434.7907336420897	-0.09601770800774018	0.025670241807164915	-3.740428653887488	1.837066882081819e-4	0.0053622159996423065
1110065P20Rik	255.66674091530018	-0.015934364900755997	0.03742168004574082	-0.42580570624513103	0.6702494286021529	0.8489722126584771
1190005I06Rik	32.97614113377725	-0.04409292848155849	0.0992148034495027	-0.4444188462662272	0.6567397902522448	0.8415866084462034
1200007C13Rik	6.399426097865941	0.2666110856011712	0.11202910319422545	2.3798377207299977	0.017320263723427338	0.10867833858095849
1300002E11Rik	515.616039433967	0.014716871780348294	0.028608802281272043	0.5144176130009569	0.6069600477004895	0.80949072326074345
1300014J16Rik	77.4785700529175	0.0603232463467373	0.040285105877121884	1.4974081619826443	0.1342870858093129	0.36854072020291145
1500002C15Rik	37.90598809651311	-0.01911546596930535	0.03408614973661017	-0.5607986269207289	0.5749348228533697	0.7885617137586373
1500002F19Rik	7.469649655703264	0.018780402198576962	0.07449354604841771	0.25210777570409226	0.8009577599053059	0.9167904183446843
1500004A13Rik	62.99284532517565	0.10694808464968282	0.034436495201913754	3.1056611313842226	0.001898541506025127	0.02637025004232281
1500005C15Rik	15.327745357836259	0.03041991132650596	0.08365322901531125	0.3636430020045984	0.716124611076242	0.8742045999335518
1500009L16Rik	21.836443153229453	-0.06149405522005593	0.09703182617187323	-0.6337513952497507	0.5262430778531555	0.7560165613414569
